Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
Units,,,,-,-,-,-,-,-,-,
D5_D73,D5,D73,DEF_link,1,10000000,196.3,,,NULL,,
D5_Redding,D5,Redding,DEF_link,1,10000000,0,,,NULL,,
D73_C2,D73,C2,DEF_link,1,10000000,0,,,NULL,,
C2_D74,C2,D74,DEF_link,1,10000000,0,,,NULL,,
D74_C3,D74,C3,DEF_link,0.97,32.6,0,,,NULL,,
D74_C5,D74,C5,DEF_link,1,10000000,0,,,NULL,,
C3_D74,C3,D74,DEF_link,1,1000000,0,,,NULL,,
C3_AG1,C3,AG1,DEF_link,1,10000000,0,,,NULL,,
C3_GW1,C3,GW1,cost_link,1,10000000,0,,5000,NULL,NULL,
C5_C87,C5,C87,DEF_link,1,10000000,0,,,NULL,,
dum1_D5,dum1,D5,DEF_link,0.97,10000000,0,,,NULL,,
dum1_D73,dum1,D73,DEF_link,1,10000000,3.019,,,NULL,,
dum1_C3,dum1,C3,DEF_link,0.97,10000000,0,,,NULL,,
C87_D77,C87,D77,DEF_link,1,10000000,0,,,NULL,,
D77_C6,D77,C6,DEF_link,0.93,10000000,0,,,NULL,,
D77_C11,D77,C11,DEF_link,1,10000000,0,,,NULL,,
D77_dum2,D77,dum2,DEF_link,1,10000000,0,,,NULL,,
C1_C4,C1,C4,DEF_link,1,10000000,0,,,NULL,,
C1_C6,C1,C6,DEF_link,0.93,41.4,0,,,NULL,,
C4_C69,C4,C69,DEF_link,1,10000000,0,,,NULL,,
C69_D76b,C69,D76b,DEF_link,1,10000000,0,,,NULL,,
C69_C13,C69,C13,DEF_link,1,10000000,0,,,NULL,,
D76b_D66,D76b,D66,DEF_link,1,10000000,0,,,NULL,,
C6_C1,C6,C1,DEF_link,1,1000000,0,,,NULL,,
C6_AG2,C6,AG2,DEF_link,1,10000000,0,,,NULL,,
C11_C6,C11,C6,DEF_link,0.93,10000000,0,,,NULL,,
C11_C302,C11,C302,DEF_link,0.95,10000000,0,,,NULL,,
C12_D76b,C12,D76b,DEF_link,1,10000000,0,,,NULL,,
C12_C13,C12,C13,DEF_link,1,10000000,0,,,NULL,,
C13_C302,C13,C302,DEF_link,1,10000000,0,,,NULL,,
C9_C6,C9,C6,DEF_link,0.93,10000000,0,,,NULL,,
C9_C12,C9,C12,DEF_link,1,10000000,0,,,NULL,,
dum2_C1,dum2,C1,DEF_link,1,10000000,0,,,NULL,,
C86_dum2,C86,dum2,DEF_link,1,10000000,0,,,NULL,,
dum4_C6,dum4,C6,DEF_link,1,10000000,0,,,NULL,,
dum4_UD2,dum4,UD2,DEF_link,1,10000000,0,,,NULL,,
dum4_GW2,dum4,GW2,cost_link,1,10000000,0,,5000,NULL,NULL,
D66_D30,D66,D30,DEF_link,1,10000000,0,,,NULL,,
D66_dum5,D66,dum5,DEF_link,0.95,10000000,0,,,NULL,,
C302_dum5,C302,dum5,DEF_link,1,10000000,0,,,NULL,,
D30_C14,D30,C14,DEF_link,1,10000000,0,,,NULL,,
D30_D31,D30,D31,DEF_link,1,10000000,0,,,NULL,,
dum5_C303,dum5,C303,DEF_link,1,10000000,0,,,NULL,,
C303_C305,C303,C305,DEF_link,0.95,1000000,0,,,NULL,,
C303_SWR,C303,SWR,DEF_link,0.75,10000000,0,,,NULL,,
C303_AG3,C303,AG3,DEF_link,1,10000000,0,,,NULL,,
C303_GW3,C303,GW3,cost_link,1,10000000,0,,5000,NULL,NULL,
C14_D30,C14,D30,DEF_link,1,1000000,0,,,NULL,,
C14_UD4,C14,UD4,DEF_link,1,10000000,0,,,NULL,,
C14_AG4,C14,AG4,DEF_link,1,10000000,0,,,NULL,,
C14_GW4,C14,GW4,cost_link,1,10000000,0,,5000,NULL,NULL,
D61_C301,D61,C301,DEF_link,1,10000000,241.5,,,NULL,,
C305_C303,C305,C303,DEF_link,1,361.1,0,,,NULL,,
C305_C15,C305,C15,DEF_link,1,10000000,0,,,NULL,,
SWR_C15,SWR,C15,DEF_link,1,10000000,0,,,NULL,,
C15_C301,C15,C301,DEF_link,1,10000000,0,,,NULL,,
C15_C313,C15,C313,DEF_link,1,10000000,0,,,NULL,,
D31_D61,D31,D61,DEF_link,1,10000000,0,,,NULL,,
D31_C26,D31,C26,DEF_link,0.96,361.1,0,,,NULL,,
C80_C26,C80,C26,DEF_link,0.96,10000000,0,,,NULL,,
C26_C311,C26,C311,DEF_link,1,10000000,0,,,NULL,,
C26_AG5,C26,AG5,DEF_link,1,1000000,0,,,NULL,,
C26_GW5,C26,GW5,cost_link,1,10000000,0,,5000,NULL,NULL,
C31_D37,C31,D37,DEF_link,1,1000,60.4,,,NULL,,
C307_C311,C307,C311,DEF_link,1,10000000,0,,,NULL,,
C307_D42,C307,D42,DEF_link,1,10000000,0,,,NULL,,
C311_SER,C311,SER,DEF_link,1,10000000,0,,,NULL,,
SER_D42,SER,D42,DEF_link,0.16,10000000,0,,,NULL,,
C32_D42,C32,D42,DEF_link,1,10000000,0,,,NULL,,
D37_C32,D37,C32,DEF_link,1,10000000,0,,,NULL,,
D43_C67,D43,C67,DEF_link,1,10000000,0,,,NULL,,
D43_C306,D43,C306,DEF_link,1,10000000,0,,,NULL,,
C67_C34,C67,C34,DEF_link,0.93,49.1,0,,,NULL,,
C67_C8,C67,C8,DEF_link,1,10000000,0,,,NULL,,
C67_C314,C67,C314,DEF_link,1,10000000,0,,,NULL,,
D42_D43,D42,D43,DEF_link,1,10000000,60.3,,,NULL,,
D42_C34,D42,C34,DEF_link,0.93,33,0,,,NULL,,
C34_C67,C34,C67,DEF_link,1,1000000,0,,,NULL,,
C34_AG7,C34,AG7,DEF_link,1,10000000,0,,,NULL,,
C34_GW7,C34,GW7,cost_link,1,10000000,0,,5000,NULL,NULL,
C8_D503,C8,D503,DEF_link,1,10000000,0,,,NULL,,
C8_SAC,C8,SAC,cost_link,1,10.3,0,,70000,NULL,NULL,
C301_D43,C301,D43,DEF_link,1,10000000,0,,,NULL,,
C313_C306,C313,C306,DEF_link,1,10000000,0,,,NULL,,
C313_C314,C313,C314,DEF_link,1,10000000,0,,,NULL,,
C306_C18,C306,C18,DEF_link,1,10000000,0,,,NULL,,
C314_C17,C314,C17,DEF_link,0.93,10000000,0,,,NULL,,
C18_D511,C18,D511,DEF_link,1,10000000,0,,,NULL,,
C17_C314,C17,C314,DEF_link,1,10000000,0,,,NULL,,
