Name,X,Y,Type,max_storage,min_storage,initialHead,elev,area,storCoeff,unitCost,linCoeff,Consumption,S_var,delivery_var,infeasQ_var,agBenefitsMon_var,urbBenefitsMon_var,COSBenefitsMon_var,gwPumpUnitCost_var,H_var,BC,IC,outflow,quadCoeff,Description
Units,, ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AG1,1516,1441,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG2,1518,1443,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG3,1522,1447,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG4,1520,1445,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG5,1524,1449,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG6,1528,1453,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG7,1526,1451,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG8,1530,1455,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
AG9,1532,1457,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
BANKS,1486,1411,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
Bfield,1962,1887,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
C1,-13603026.76,4888260.114,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C10,-13400348.92,4412723.989,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C100,-13290606.3,4203216.231,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C103,-13223396.58,4152168.108,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C11,-13597030.99,4867445.737,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C12,-13618070.73,4839108.572,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C13,-13582581.16,4821606.914,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C14,-13564259.03,4727721.017,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C15,-13587777.78,4749626.531,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C17,-13569551.52,4660403.205,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C172,-13468068.05,4541223.069,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C18,-13541375.54,4652527.647,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C2,-13607707.01,4922030.016,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C201,-13483730.14,4593778.132,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C26,-13563287.17,4742878.005,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C3,-13615681.41,4939965.752,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C30,-13495858.43,4523015.158,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C301,-13550184.86,4693527.45,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C302,-13602447.87,4775960.98,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C303,-13594970.53,4764786.608,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C305,-13583153.29,4738376.058,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C306,-13541356.05,4675638.533,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C307,-13547205.68,4728561.061,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C309,-13534128.43,4562012.106,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C31,1388,1313,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C310,1474,1399,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C311,1392,1317,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C313,1412,1337,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C314,1416,1341,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C315,1728,1653,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C316,1724,1649,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C318,1826,1751,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C32,1396,1321,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C34,1406,1331,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C36,1430,1355,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C37,1426,1351,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C39,1432,1357,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C4,1340,1265,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C42,1436,1361,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C44,1662,1587,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C45,1684,1609,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C46,1794,1719,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C47,1816,1741,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C48,1822,1747,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C49,1830,1755,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C5,1330,1255,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C50,1828,1753,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C51,1836,1761,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C52,1780,1705,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C53,1786,1711,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C54,1778,1703,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C55,1832,1757,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C56,1788,1713,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C57,1844,1769,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C58,1842,1767,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C59,1782,1707,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C6,1346,1271,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C60,1846,1771,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C609,1784,1709,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C62,1870,1795,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C63,1876,1801,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C64,1872,1797,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C65,1878,1803,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C66,1892,1817,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C67,1402,1327,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C68,1450,1375,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C688,1840,1765,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C689,1874,1799,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C69,1342,1267,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C70,1468,1393,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C71,1470,1395,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C72,1808,1733,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C73,1884,1809,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C74,1880,1805,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C75,1752,1677,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C76,1834,1759,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C78,1730,1655,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C79,1732,1657,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C8,1408,1333,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C80,1384,1309,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C84,1686,1611,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C85,1710,1635,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C86,1358,1283,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C87,1334,1259,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C88,1664,1589,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C89,1838,1763,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C9,1354,1279,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C90,1776,1701,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C91,1748,1673,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C92,1736,1661,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C95,1864,1789,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C97,1882,1807,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
C98,1894,1819,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
CC,1512,1437,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM10,1616,1541,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM10UR,1940,1865,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM11,1614,1539,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM11UR,1936,1861,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM12,1618,1543,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM12UR,1938,1863,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM13,1622,1547,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM13UR,1948,1873,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM14,1620,1545,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM14UR,1946,1871,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM15,1630,1555,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM15UR,1956,1881,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM16,1624,1549,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM17,1626,1551,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM17UR,1952,1877,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM18,1628,1553,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM18UR,1954,1879,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM19,1632,1557,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM19UR,1960,1885,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM20,1634,1559,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM20UR,1958,1883,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
CVPM21,1636,1561,agricultural,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,NULL,,,,,TS/BC.csv,,,TS/quad_coeff.csv,
CVPM21UR,1964,1889,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
D16,1640,1565,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D30,1366,1291,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D31,1382,1307,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D37,1398,1323,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D42,1404,1329,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D43,1400,1325,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D5,1320,1245,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D503,1424,1349,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D507,1446,1371,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D509,1452,1377,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D511,1422,1347,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D513,1440,1365,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D515,1442,1367,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D517,1434,1359,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D521,1438,1363,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D522,1444,1369,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D523,1448,1373,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D525,1454,1379,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D528,1456,1381,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D550,1458,1383,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D59,1462,1387,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D605,1806,1731,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D606,1790,1715,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
D608,1772,1697,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
