Name,PRMName,x,y,Type,Type_ID,Inflow,Inflow_path,Inflow_TS ,Inflow_MID,Info,Inflow_Author,Description
Units,,,,,,,,1000 ac-ft mon^-1,,,,
Source_C116,C116,-13194673.09,4501072.224,Source TS,90,Source_C116,/UCD CAP1/SOURCE_C116/FLOW_LOC(KAF)//1MON/LV-HAIWEE/,TS/_UCD CAP1_SOURCE_C116_FLOW_LOC KAF __1MON_LV-HAIWEE_.csv,1230,none,Jay Lund,LV-HAIWEE
Source_C146,C146,-12921692.17,3970161.608,Source TS,90,Source_C146,/UCD CAP1/SOURCE_C146/FLOW_LOC(KAF)/01JAN1920/1MON/WHITEWATER/,TS/_UCD CAP1_SOURCE_C146_FLOW_LOC KAF _01JAN1920_1MON_WHITEWATER_.csv,1326,none,Jay Lund,WHITEWATER
Source_C148,C148,-12868190.63,3926739.629,Source TS,90,Source_C148,/UCD CAP1/SOURCE_C148/FLOW_LOC(KAF)/01JAN1920/1MON/NEW AND ALAMO/,TS/_UCD CAP1_SOURCE_C148_FLOW_LOC KAF _01JAN1920_1MON_NEW AND ALAMO_.csv,1345,none,Andy Draper,NEW AND ALAMO
Source_C154,C154,-13037706.33,3978249.784,Source TS,90,Source_C154,/SOUTH UPDT/SOURCE_C154/FLOW_LOC(KAF)//1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_C154_FLOW_LOC KAF __1MON_LOCAL SUPPLIES_.csv,1364,MWDSC Provided local inflow data from 1974 to 1994. This data was used as is for those years. Other years in the series were filled in by establishing an average inflow by year type; and applying that inflow for each year of that type. Totals were checked againt Eastern ans Western MWD's UWMPs.,Jay Lund,LOCAL SUPPLIES
Source_C161,C161,-13182492.32,4128969.562,Source TS,90,Source_C161,/SOUTH UPDT/SOURCE_C161/FLOW_LOC(KAF)//1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_C161_FLOW_LOC KAF __1MON_LOCAL SUPPLIES_.csv,1379,MWDSC Provided local inflow data from 1974 to 1994. This data was used as is for those years. Other years in the series were filled in by establishing an average inflow by year type; and applying that inflow for each year of that type.,Jay Lund,LOCAL SUPPLIES
Source_C23,C23,-13530639.49,4802562.488,Source,90,Source_C23,/UCD CAP1/Source_C23/FLOW_LOC//1MON/KELLY RIDGE/,,298,IN7 from DWRSIM Run 514 output,Andy Draper,KELLY RIDGE
Source_C27,C27,-13500167.73,4760374.05,Source,90,Source_C27,/UCD CAP1/Source_C27/FLOW_LOC//1MON/M & S FORK YUBA RIVER/,,319,0,Andy Draper,M & S FORK YUBA RIVER
Source_C28,C28,-13499611.09,4758793.284,Source,90,Source_C28,/UCD CAP1/Source_C28/FLOW_LOC//1MON/DEER CREEK/,,322,0,Andy Draper,DEER CREEK
Source_C29,C29,-13528109.56,4751897.969,Source,90,Source_C29,/UCD CAP1/Source_C29/FLOW_LOC//1MON/FRENCH DRY CREEK/,,326,0,Andy Draper,FRENCH DRY CREEK
Source_C2,C2,-13607707.01,4927030.016,Source,90,Source_C2,/UCD CAP1/SOURCE_C2/FLOW_LOC(KAF)//1MON/COTTONWOOD CREEK/,,271,IN73 from DWRSIM Run 514 output,Andy Draper,COTTONWOOD CREEK
Source_C304,C304,-13587777.78,4754626.531,Source,90,Source_C304,/UCD CAP1/SOURCE_C304/FLOW_LOC(KAF)//1MON/DA12/,,353,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,DA12 local water supply
Source_C306,C306,-13541356.05,4680638.533,Source,90,Source_C306,/GWUPD_FINAL/SOURCE_C306/FLOW_LOC(KAF)//1MON/DA65/,,358,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,DA65 local water supply
Source_C308,C308,-13514973.02,4726799.767,Source,90,Source_C308,/UCD CAP1/Source_C308/FLOW_LOC//1MON/ACCRETION CFW TO WHEATLAND GAG/,,364,0,Andy Draper,ACCRETION CFW TO WHEATLAND GAGE
