Name,From,To,Type,Type_ID,OriginNode,TerminalNode,Amplitude,AmplitudeMID,AmplitudeMID_text,Unit cost,CostMID,CostMID_text,CostMethod,CostMethod_text,LowerBound,LowerBoundMID,LowerBoundMID_text,UpperBound,UpperBoundMID,UpperBoundMID_text,LowerBoundMonthlyID,LowerBoundMonthlyMID,LowerBoundMonthlyMID_text,UpperBoundMonthlyID,UpperBoundMonthlyMID,UpperBoundMonthlyMID_text,ConstrainedFlowPathname,ConstrainedFlowPathnameMID,ConstrainedFlowPathnameMID_text,LowerBoundPathname,LowerBoundPathnameMID,LowerBoundPathnameMID_text,UpperBoundPathname,UpperBoundPathnameMID,UpperBoundPathnameMID_text,ConstraintMethod,ConstraintMethod_text,AuthorID,AuthorID_text,Categories,Boundary,Description
Units,,,,,,,,,,USD ac-ft^-1,,,,,1000 ac-ft mon^-1,,,1000 ac-ft mon^-1,,,,,,,,,,,,,,,,,,,,,,,,
AgG: Antelope_GW-AV,AGG AV,GW-AV,Diversion,3,900,553,0.319999993,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,return flows
AgG: Coachella_GW-CH,AGG COACH,GW-CH,Diversion,3,919,555,0.319999993,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,return flows to groundwater
AgG: E&W MWD_GW-EW,AGG EW,GW-EW,Diversion,3,908,909,0.319999993,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,outflow
AgG: San Diego_Sink G50,AGG SD,Sink G50,Diversion,3,907,764,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,outflow
AgG: Ventura_GW-VC,AGG VENT,GW-VC,Diversion,3,898,883,0.349999994,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Agricultural return flows
AgS: Antelope_GW-AV,AGS AV,GW-AV,Diversion,3,882,553,0.319999993,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,return flow
AgS: Coachella_C157,AGS COACH,C157,Diversion,3,920,332,0.319999993,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Return flows from surface water
AgS: E&W MWD_Sink G48,AGS EW,Sink G48,Diversion,3,880,762,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Agricultural runoff
AgS: Imperial_SR-SS,AGS IMP,SR-SS,Diversion,3,922,814,0.319999993,2248,,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,SW return flow
AgS: San Diego_Sink G50,AGS SD,Sink G50,Diversion,3,881,764,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Agricultural runoff
AgS: Ventura_Sink CN5,AGS VENT,Sink CN5,Diversion,3,879,717,0.349999994,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Agricultural runoff
Alamo Power Plant_D868,Alamo PWP,D868,Diversion,3,295,514,1,1183,0,-12.22480011,1184,assuming a benefit of $0.07/af/ft of head with an 118 ft drop,2,Constant,0,,,190,,,,,,106,1185,SWP Pumping Plant (3149 cfs),,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,SWP East Branch Power Plant
All American Canal Power Plant_C151,AAC PWP,C151,Diversion,3,296,327,1,1189,0,-18.12999916,1190,assuming $0.07/af/ft of head benefit with 175 ft drop,2,Constant,0,,,3.40E+38,,,,,,107,1191,IID web page (10;155 cfs),,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Latter end of the All American Canal
Badger Hill PMP_D847,BadgerPMP,D847,Diversion,3,298,500,1,1196,0,24.90839958,,,2,Constant,0,,,3.40E+38,,,,,,109,1197,0,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,44,0,Coastal Aqueduct
Banks PMP_D801,Banks PMP,D801,Diversion,3,3,492,1,,,33.16680145,,,2,Constant,0,,,0,,,,,,343,2414,08012012 - GW Calibration added constraints based on CALSIM cumulative frequency near-maximum. See file Constraints on Banks.xlsx in the corresponding run folder S07I14.,/UCD CAP1/BANKS PMP_SINK/FLOW_LOC(KAF)//1MON/BOUNDARY FLOW/,,,,,,/GWUPD_FINAL/BANKS PMP_D801/FLOW_UBC(KAF)//1MON/073112 CALVIN-CALSIM HYBRID/,2416,Increased pumping limit. 8;500 cfs is the hydraulic limit; 10300 cfs if the physical capacity,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,Exports from the Sacramento-San Joaquin Bay Delta to Central Valley and Southern California; Boundary outflow to Region 3
BuenaVistaPMP_D860,BuenaPMP,D860,Diversion,3,300,508,1,1202,0,27.83879852,1203,0,2,Constant,0,,,3.40E+38,,,,,,112,1204,0,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,7,Brad Newlin,44,0,California Aqueduct Pumping Plant
C100_HU19,C100,HU19,Diversion,3,302,654,1,1209,Agricultural reuse factor for region CVPM19 taken from CVPEIS CD-ROM disc2\ag-econ\naa\model\cesdat95.gms Table Localcst. Factors used for calibration of CVPM model,0,,,1,None,0,,,3.40E+38,,,,,,,,,/GWUPD1/C100_HU19/FLOW_FXC(KAF)//1MON/C2VSIM_FXD REUSE/,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,44,0,Hidden ag delivery reuse calibration link
C100_SinkR3,C100,Sink R3,Diversion,3,302,776,1,,,0,,,1,None,0,,,0,,,,,,,,,/CAWI_WC/AG CAL CVPM19/FLOW(KAF)/01JAN1970/1MON/CALIBRATION CVPM19/,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,,0,Debug losses from CVPM 19
C103_D865,C103,D865,Diversion,3,303,513,1,,,0,,,1,None,0,,,0,,,,,,,,,,1213,0,/UCD CAP1/C103-SINK C103/FLOW_FXC(KAF)//1MON/CAL AQ OUTFLOW/,1214,Lower bound outflow requirement over the Tehachapi Mountains.  Based on the fixed time series of inflows used for Region 6.,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,California Aqueduct Flow from Region 4 to Region 5
C104_C105,C104,C105,Diversion,3,865,866,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,13,Stacy Tanaka,,0,Freeport Project Pipeline
C104_D44,C104,D44,Diversion,3,865,108,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,13,Stacy Tanaka,,0,Sacramento River from Freeport to Elk Grove
C105_C107,C105,C107,Diversion,3,866,867,1,,,0,,,1,None,0,,,0,,,,,,346,2397,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,13,Stacy Tanaka,,0,Freeport Pipeline to south Folsom Canal Extension
C105_T4,C105,T4SAC,Diversion,3,866,284,1,,,103.5999985,2395,,2,Constant,0,,,0,,,,,,345,2396,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,Freeport Pipeline diversion to Greater Sacramento
C106_T55,C106,T55VENT,Diversion,3,304,846,1,,,516.5200195,1219,For SWP imports; including Delta cost for RO ($224) plus SWP treatment ($30) plus local water distribution ($95).  The same as in Castaic.,2,Constant,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,W. Branch SW Diversion to VCFCWCD
C107_C39,C107,C39,Diversion,3,867,50,1,,,29.60000038,2399,,2,Constant,0,,,0,,,,,,347,2398,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,13,Stacy Tanaka,,0,South Folsom Canal Extension to Mokelumne Aqueduct
C10_HSU10C10,C10,HSU10C10,Diversion,3,301,591,1,,,0,,,1,None,0,,,40.79999924,1207,Upper bound constraint on agricultural surface water deliveries for Policy 1 only,,,,,,,/UCD CAP4/C10_C84/FLOW_FXC(KAF)/01JAN1920/1MON/CVGSM NAA ID42*0.83505/,1208,"Constrained delivery for Policy 4a from CVGSM delivery ID42 in Cnjdvsp2.nda; with an average annual delivery of 168.3 TAF.  Data for Oct 1990 - Sep 1993 calculated by linear regression with the sum of DWRSIM CP701; CP702; CP721; & CP723 diversions; in ""Spiff\ex_hobbes\Report\Software & Data Appendices\P [Policy 4a]\Extensions 1990-1993\Alt 4 Diversions 3-7-00 extMJ.xls""",,,,,,,21,NoLowerBound+ConstantUpperBound,2,Andy Draper,33,0,surface delivery CVPM 10
C116_C120,C116,C120,Diversion,3,306,309,1,1231,0,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Upper Owens River
C11_HSU2C11,C11,HSU2C11,Diversion,3,5,170,1,,,0,,,1,None,0,,,1.029999971,224,Upper bound constraint on agricultural deliveries from surface water for Policy 1. 07242012 - upper bound updated based on C2VSIM SW diversions data file,,,,,,,/UCD CAP4/C11_C6/FLOW_FXC(KAF)/01JAN1920/1MON/CVGSM NAA ID6*1/,225,"Constrained delivery for Policy 4a from CVGSM delivery ID6 in Cnjdvsp2.nda; with an average annual delivery of 1.9 TAF.  Data for Oct 1990 - Sep 1993 calculated by linear regression with DWRSIM CP77 diversion; in ""C:\public\Report\Software & Data Appendices\P [Policy 4a]\Extensions 1990-1993\Alt 4 Diversions 3-7-00 extMJ.xls""",,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,11,0,surface delivery CVPM 2
C11_HSU3C11,C11,HSU3C11,Diversion,3,5,173,1,,,0,,,1,None,0,,,71.40000153,226,Upper bound constraint on agricultural deliveries from surface water for Policy 1,,,,,,,/UCD CAP4/C11_C302/FLOW_FXC(KAF)//1MON/CVGSM NAA ID7*1/,227,"Constrained delivery for Policy 4a from CVGSM delivery ID7 in Cnjdvsp2.nda; with an average annual delivery of 267.7 TAF.  Data for Oct 1990 - Sep 1993 calculated by linear regression with DWRSIM CP77 diversion; in ""C:\public\Report\Software & Data Appendices\P [Policy 4a]\Extensions 1990-1993\Alt 4 Diversions 3-7-00 extMJ.xls""",,,,,,,21,NoLowerBound+ConstantUpperBound,2,Andy Draper,11,0,surface delivery CVPM 3
C120_GW-OW,C120,GW-OW,Diversion,3,309,561,1,,,7.400000095,1233,0,2,Constant,0,,,15,1234,Upper bound an estimate from yearly historical pumping,,,,,,,,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,5,0,GW-OW Artificial Recharge
C120_SR-LA,C120,SR-LA,Diversion,3,309,802,1,1242,0,0,,,1,None,0,,,47.09999847,1243,Technical Memo BDN3,,,,370,2438,0,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,LA Aqueduct
C120_SR-OL,C120,SR-OL,Diversion,3,309,811,1,,,0,,,1,None,0,,,0,,,382,2450,,,,,,,,,,,,,,13,MonthlyLowerBound+NoUpperBound,6,Jay Lund,,0,Lower Owens River restoration
C122_C161,C122,C161,Diversion,3,310,334,1,,,7.400000095,,,2,Constant,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,LAA Delivery to Central MWD
C122_Sink G57,C122,Sink G57,Diversion,3,310,771,1,1246,0,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,LAA losses
C124_D871,C124,D871,Diversion,3,311,516,1,1250,0,0,,,1,None,0,,,173.5,,,,,,371,2439,0,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Capacity after Pearablossom pumping plant
C124_HARUC124,C124,HARUC124,Diversion,3,311,564,1,1251,0,14.80000019,1252,GW recharge cost,2,Constant,0,,,22.70000076,1253,Estimated from Mojave (1998),,,,120,1256,The aggregate capacity of the Mojave River Pipeline (94 cfs); the Moronga Basin Pipeline (60 cfs) and the Hesperia pipelines (110 & 25 cfs) and other small pipelines - Total 376 cfs plus 17.3 TAF/Y through the 2008 expansion. All water imported into MWA is recharged. (MWA 2005 Update to RWMP),/UCD CAP4/C124_GW-MJ/FLOW(KAF)/01JAN1920/1MON/MOJAVE R-22B-23/,1254,DWRSIM derived deliveries,,,,,1255,Technical Memo BDN3,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,GW-MJ Artificial Recharge
C129_D876,C129,D876,Diversion,3,312,518,1,1263,0,0,,,1,None,0,,,28.39999962,1264,Technical Memo BDN3,,,,372,2440,0,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Santa Ana Pipeline
C129_N2,C129,N2,Diversion,3,312,872,1,,,0,,,1,None,0,,,0,,,,,,352,2418,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,Inland feeder
C12_C13,C12,C13,Diversion,3,6,7,1,231,no losses,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,8,Brian Van Lienden,11,0,Stony Creek diversion to Glenn-Colusa Canal
C12_D76b,C12,D76b,Diversion,3,6,133,1,232,no losses,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,8,Brian Van Lienden,11,0,Stony Creek inflow to Sacramento River
C131_D881,C131,D881,Diversion,3,313,519,1,1269,0,0,,,1,None,0,,,28.39999962,1270,Technical Memo BDN3,,,,124,1271,Santa Ana Valley pipeline (470 cfs),,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Santa Ana Pipeline
C131_N1,C131,N1,Diversion,3,313,871,1,,,59.20000076,2466,,2,Constant,0,,,0,,,,,,353,2419,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,East Branch SWP Diversin to SBV
C131_Sink G12,C131,Sink G12,Diversion,3,313,738,1,1272,0,0,,,1,None,0,,,0,,,125,,,126,,,,,,/UCD CAP1/C131-SINK/FLOW_DIV(KAF)//1MON/A03D28 CALB FLOW/,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,East Branch SWP Losses
C134_C141,C134,C141,Diversion,3,314,319,1,1278,0,0,,,1,None,0,,,0,1279,0 capacity for Policy 4A,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Colorado River
C134_Iron Pumping Plant,C134,Iron PMP,Diversion,3,314,676,1,1280,0,0,,,1,None,0,,,108.5999985,1281,Technical Memo BDN3,,,,373,2441,0,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Colorado Aqueduct
C136_C138,C136,C138,Diversion,3,315,316,1,1283,0,230.8800049,1284,Salinity damage cost ($136/af) + SWP water treatment cost ($20/af),2,Constant,0,,,108.5,1285,Technical Memo BDN3,,,,374,2442,0,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Colorado Aqueduct
C136_C145,C136,C145,Diversion,3,315,322,1,1286,0,0,,,1,None,0,,,3.40E+38,,,,,,375,2443,0,/UCD CAP4/C136_C145/FLOW(KAF)/01JAN1920/1MON/CVWD-DWA/,1287,DWRSIM dervived deliveries to DWA and CVWD,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,CRA diversion to Coachella Urban (should have a capacity)
C138_N6,C138,N6,Diversion,3,316,876,1,,,0,,,1,None,0,,,0,,,,,,354,2420,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,San Diego Canal
C138_SR-LM,C138,SR-LM,Diversion,3,316,807,1,1293,0,0,,,1,None,0,,,108.5999985,,,,,,130,1294,Valverde Tunnel (1605 cfs),,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Valverde Tunnel
C138_WadsPMP,C138,WadsPMP,Diversion,3,316,536,1,,,0,,,1,None,0,,,0,,,,,,355,2421,,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,Eastside pipeline (if filled from CRA) and San Diego Canal
