PRMName,Name,x,y,Type,Type_ID,InitialStorage,InitialStorageMID,InitialStorageMID_text,AreaCapFactor,AreaCapFactorMID,AreaCapFactorMID_text,EndingStorage,EndingStorageMID,EndingStorageMID_text,EndingStorageMethod,EvaporationRatePathname,EvaporationRatePathnameMID,EvaporationRatePathnameMID_text,ElevationAreaCapacityPathname,ElevationAreaCapacityPathnameMID,ElevationAreaCapacityPathnameMID_text,AuthorID,AuthorName_text,Categories,Categories_text,Description
,Units,,,,,1000 ac-ft,,,,,,1000 ac-ft,,,,,,,,,,,,,,
AgG: Antelope,AGG AV,-13134434.29,4184094.204,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Antelope Valley Ag supplied by GW
AgG: Coachella,AGG COACH,-12951938.07,3999192.863,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Coachella Groundwater demand
AgG: E&W MWD,AGG EW,-13061435.97,4018275.74,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,
AgG: San Diego,AGG SD,-13022290.19,3913977.089,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,
AgG: Ventura,AGG VENT,-13251608.23,4086189.607,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Ventura Ag supplied by Groundwater
AgS: Antelope,AGS AV,-13134434.29,4184094.204,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Agricultural demand for Antelope Valley
AgS: Coachella,AGS COACH,-12951938.07,3999192.863,Junction Node,9,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Coachella ag supplied by surface water
AgS: E&W MWD,AGS EW,-13061435.97,4018275.74,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,
AgS: Imperial,AGS IMP,-12855709.04,3894027.655,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Imperial Valley Ag supplied by surface water
AgS: Palo Verde,AGS PV,-12770726.33,3977028.737,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,Palo Verde Ag supplied by surface water
AgS: San Diego,AGS SD,-13022290.19,3913977.089,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,
AgS: Ventura,AGS VENT,-13251608.23,4086189.607,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,
Alamo Power Plant,Alamo PWP,-13213169.75,4139443.7,Power Plant Node,15,,,,,,,,,,,,,,,,,7,Brad Newlin,,,East Branch SWP Power Plant
All American Canal Power Plant,AAC PWP,-13060451.56,4070430.51,Power Plant Node,15,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Imperial System Power Plant
BadgerHillPMP,BadgerPMP,-13352039.65,4278148.625,Pump Plant Node,14,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Badger Hill Pumping Plant
Banks PMP,Banks PMP,-13539128.58,4550918.929,Pump Plant Node,14,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Banks Pumping Plant
BuenaVistaPMP,BuenaPMP,-13285418.82,4185505.071,Pump Plant Node,14,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Buena Vista Pumping Plant
C100,C100,-13290606.3,4203216.231,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 19 farm gate
C103,C103,-13223396.58,4152168.108,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,California Aqueduct d/s of Edmonston pumping plant
C104,C104,-13526273.21,4646664.363,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Sacramento River at Freeport
C105,C105,-13504963.96,4647946.392,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Freeport Project Pipeline bifurcation point
C106,C106,-13223096.03,4082772.305,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,West Branch SWP diversion to Ventura Co.
C107,C107,-13496939.67,4648254.598,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Folsom South Canal Extension from the Freeport Project
C10,C10,-13400348.92,4412723.989,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,3,,San Joaquin River riparian delivery to CVPM-10
C116,C116,-13194673.09,4496072.224,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,LAA System
C11,C11,-13597030.99,4867445.737,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Tehama Colusa California Aqueductnal
C120,C120,-13140342.65,4216018.055,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,LAA System
C122,C122,-13158561.49,4435892.887,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,LAA System
C124,C124,-13120713.2,4093434.504,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,East Branch SWP diversion to GW-MJ - Morongo & Mojave Pipelines
C129,C129,-13061500.47,4054992.197,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,East Branch SWP diversion to MWD Inland Feeder
C12,C12,-13618070.73,4839108.572,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Stony Creek diversion to CVPM 3
C131,C131,-13059167.57,4029775.866,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,East Branch SWP Santa Ana Pipeline diversion to SBV Urban
C134,C134,-12708083.87,4071396.572,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River diversion to Colorado River Aqueduct
C136,C136,-12915188.1,3990808.597,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River Aqueduct
C138,C138,-13029575.59,3990604.141,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River Aqueduct
C13,C13,-13582581.16,4821606.914,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Glenn Colusa California Aqueductnal
C141,C141,-12747462.31,3993086.347,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River diversion to Palo Verde Ag
C142,C142,-12771305.42,3949508.096,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River return from Palo Verde Ag
C143,C143,-12743067.33,3878893.27,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Colorado River diversion to All American Canal
C145,C145,-12985847.24,4018416.671,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Coachella Urban GW recharge junction node
C146,C146,-12921692.17,3965161.608,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Imperial System - Whitewater River inflow to Coachella Urban recharge and Salton Sea
C147,C147,-12943994.97,3979762.973,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,End of Coachella Canal and farm gate to Coachella Ag
