Name       ,Type,Member
14004,Group,14004.left
14004,Group,14004.right
14005,Group,14005.left
14006,Group,14006.left
14006,Group,14006.right
14007,Group,14007.left
14007,Group,14007.right
14008,Group,14008.left
14009,Group,14009.left
14009,Group,14009.right
14010,Group,14010.left
14011,Group,14011.left
23000,Node,Sop786_ph2b
23000,Node,Sop787_ph2b
23000,Node,Sop788_ph2b
23000,Node,Sop789_ph2b
23001,Link,Lft138_ph2b
23001,Link,Lft139_ph2b
23002,Link,Lft106n_ph2b
23002,Link,Lft108m_ph2b
23003,Node,Sop803_ph2b
23003,Node,Sop804_ph2b
23005,Node,Sop793_ph2b
23005,Node,Sop794_ph2b
23007,Node,Sop801_ph2b
23007,Node,Sop816_ph2b
23008,Node,Sop783_ph2b
23008,Node,Sop784_ph2b
23009,Node,Sop819_ph2b
23009,Node,Sop820_ph2b
23036,Node,Sop797_ph2b
23036,Node,Sop798_ph2b
23036,Node,Sop799_ph2b
23036,Node,Sop800_ph2b
23037,Node,Sop767_ph2b
23037,Node,Sop768_ph2b
23037,Node,Sop769_ph2b
23037,Node,Sop770_ph2b
23037,Node,Sop771_ph2b
23037,Node,Sop772_ph2b
23037,Node,Sop773_ph2b
23037,Node,Sop774_ph2b
23037,Node,Sop775_ph2b
23038,Node,Sop776_ph2b
23038,Node,Sop777_ph2b
23038,Node,Sop778_ph2b
23041,Node,WEF396_ph2b
23041,Node,WEF397_ph2b
23041,Node,WEF398_ph2b
23042,Node,WEF399_ph2b
23042,Node,WEF400_ph2b
23042,Node,WEF401_ph2b
23043,Node,WEF402_ph2b
23043,Node,WEF403_ph2b
23043,Node,WEF404_ph2b
23044,Node,WEF405_ph2b
23044,Node,WEF406_ph2b
23044,Node,WEF407_ph2b
23045,Node,WEF408_ph2b
23045,Node,WEF409_ph2b
23045,Node,WEF413_ph2b
23046,Node,WEF410_ph2b
23046,Node,WEF411_ph2b
23046,Node,WEF412_ph2b
23047,Node,WEF414_ph2b
23047,Node,WEF415_ph2b
23047,Node,WEF416_ph2b
23048,Node,WEF417_ph2b
23048,Node,WEF418_ph2b
23048,Node,WEF419_ph2b
23049,Node,MET299_ph2b
23049,Node,MET300_ph2b
23049,Node,MET301_ph2b
23050,Node,MET298_ph2b
23050,Node,MET302_ph2b
23050,Node,MET303_ph2b
23050,Node,MET304_ph2b
23050,Node,MET305_ph2b
23050,Node,MET306_ph2b
23050,Node,MET307_ph2b
23050,Node,MET308_ph2b
23050,Node,MET309_ph2b
23050,Node,MET310_ph2b
23050,Node,MET311_ph2b
23050,Node,MET312_ph2b
23050,Node,MET313_ph2b
23050,Node,MET314_ph2b
23050,Node,MET315_ph2b
23051,Node,WEF393_ph2b
23051,Node,WEF394_ph2b
23051,Node,WEF395_ph2b
23078,Node,Sop780_ph2b
23078,Node,Sop782_ph2b
23079,Node,Sop812_ph2b
23079,Node,Sop813_ph2b
23080,Node,Sop817_ph2b
23080,Node,Sop818_ph2b
23081,Node,Sop795_ph2b
23081,Node,Sop796_ph2b
23085,Node,Sop691_ph2b
23085,Node,Sop692_ph2b
23087,Link,Lft011_ph2b
23087,Link,Lft012_ph2b
23087,Link,Lft1048_ph2b
23088,Link,Lft025_ph2b
23088,Link,Lft026_ph2b
23090,Link,Lft094_ph2b
23090,Link,Lft095_ph2b
23093,Link,Lft100c_ph2b
23093,Link,Lft190c_ph2b
23094,Link,Lft194_ph2b
23094,Link,Lft195_ph2b
23095,Link,Lft034a_ph2b
23095,Link,Lft035_ph2b
23096,Node,Sop1001_ph2b
23096,Node,Sop1002_ph2b
23097,Node,Sop1001_ph2b
23097,Node,Sop1003_ph2b
23099,Node,Sop1012_ph2b
23099,Node,Sop1013_ph2b
23099,Node,Sop1014_ph2b
23100,Node,Sop1013_ph2b
23100,Node,Sop1014_ph2b
23100,Node,Sop706_ph2b
23101,Node,Sop1012_ph2b
23101,Node,Sop1015_ph2b
23106,Node,Sop1054_ph2b
23106,Node,Sop1055_ph2b
23106,Node,Sop1056_ph2b
23107,Node,Sop1057_ph2b
23107,Node,Sop795_ph2b
23107,Node,Sop796_ph2b
23108,Node,Sop1061_ph2b
23108,Node,Sop1062_ph2b
23108,Node,Sop1063_ph2b
23108,Node,Sop1064_ph2b
23108,Node,Sop687_ph2b
23108,Node,Sop688_ph2b
23108,Node,Sop689_ph2b
23109,Link,Lft055b_ph2b
23109,Link,Lft057b_ph2b
23110,Link,Lft056b_ph2b
23110,Link,Lft057b_ph2b
23112,Node,MET1145_ph2b
23112,Node,MET1208_ph2b
23112,Node,MET1209_ph2b
23112,Node,MET1210_ph2b
23113,Node,MET1146_ph2b
23113,Node,MET1211_ph2b
23113,Node,MET1212_ph2b
23113,Node,MET1213_ph2b
23114,Node,MET1214_ph2b
23114,Node,MET1215_ph2b
23114,Node,MET1216_ph2b
23114,Node,MET1217_ph2b
23115,Node,MET1147_ph2b
23115,Node,MET1218_ph2b
23115,Node,MET1219_ph2b
23115,Node,MET1220_ph2b
23116,Node,MET1221_ph2b
23116,Node,MET1222_ph2b
23116,Node,MET1223_ph2b
23116,Node,MET1224_ph2b
23117,Node,MET1225_ph2b
23117,Node,MET1226_ph2b
23117,Node,MET1227_ph2b
23117,Node,MET1228_ph2b
23153,Node,LEA1019_ph2b
23153,Node,LEA1020_ph2b
23153,Node,LEA1021_ph2b
23154,Node,LEA1025_ph2b
23154,Node,LEA1026_ph2b
23155,Node,LEA1030_ph2b
23155,Node,LEA1031_ph2b
23155,Node,LEA1404_ph2b
23156,Node,LEA1035_ph2b
23156,Node,LEA1036_ph2b
23156,Node,LEA1037_ph2b
23157,Node,LEA1042_ph2b
23157,Node,LEA1044_ph2b
23157,Node,LEA1046_ph2b
23162,Link,Lft138_ph2b
23162,Link,Lft139_ph2b
23163,Node,WEF1418_ph2b
23163,Node,WEF1419_ph2b
23164,Node,WEF1305_ph2b
23164,Node,WEF1306_ph2b
23169,Node,LEA1167_ph2b
23169,Node,LEA1168_ph2b
23169,Node,LEA1169_ph2b
23170,Node,LEA1183_ph2b
23170,Node,LEA1184_ph2b
23170,Node,LEA1185_ph2b
23172,Node,Sop1162_ph2b
23172,Node,Sop1163_ph2b
23176,Link,Lft055a_ph2b
23176,Link,Lft056a_ph2b
23176,Link,Lft057a_ph2b
23177,Link,Lft100a_ph2b
23177,Link,Lft190a_ph2b
23178,Link,Lft009c_ph2b
23179,Link,Lft009d_ph2b
23185,Node,MET1148_ph2b
23185,Node,MET1149_ph2b
23185,Node,MET1150_ph2b
23185,Node,MET1151_ph2b
23185,Node,MET1152_ph2b
23185,Node,MET1153_ph2b
23186,Node,MET1230_ph2b
23186,Node,MET1231_ph2b
23186,Node,MET1232_ph2b
23186,Node,MET1233_ph2b
23186,Node,MET1234_ph2b
23186,Node,MET1235_ph2b
23187,Link,Lft102_ph2b
23187,Link,Lft103_ph2b
23187,Link,Lft104_ph2b
23189,Node,Sop1065_ph2b
23189,Node,Sop791_ph2b
23189,Node,Sop792_ph2b
24302,Link,Lft034a_ph2b
24302,Link,Lft034b_ph2b
24318,Link,Lft001a_ph2b
24318,Link,Lft001b_ph2b
24318,Link,Lft001c_ph2b
24318,Link,Lft001d_ph2b
24319,Link,Lft013m_ph2b
24319,Link,Lft013n_ph2b
24333,Link,Lft106m_ph2b
24333,Link,Lft106n_ph2b
24334,Link,Lft108m_ph2b
24334,Link,Lft108n_ph2b
24336,Link,Lft124n_ph2b
24337,Link,Lft127m_ph2b
24337,Link,Lft127n_ph2b
24338,Link,Lft133a_ph2b
24338,Link,Lft133b_ph2b
24347,Link,Lft114m_ph2b
24347,Link,Lft114n_ph2b
24349,Link,Lft009a_ph2b
24349,Link,Lft009c_ph2b
24349,Link,Lft009d_ph2b
24360,Link,Lft005a_ph2b
24360,Link,Lft005b_ph2b
24361,Link,Lft006a_ph2b
24361,Link,Lft006b_ph2b
24362,Link,Lft045a_ph2b
24362,Link,Lft045b_ph2b
24364,Link,Lft033a_ph2b
24364,Link,Lft033b_ph2b
24365,Link,Lft055a_ph2b
24365,Link,Lft055b_ph2b
24366,Link,Lft056a_ph2b
24366,Link,Lft056b_ph2b
24367,Link,Lft057a_ph2b
24367,Link,Lft057b_ph2b
24374,Link,Lft115a_ph2b
24374,Link,Lft115b_ph2b
24375,Link,Lft058a_ph2b
24375,Link,Lft058b_ph2b
24377,Link,Lft1009_ph2b
24377,Link,Lft1027_ph2b
24395,Link,Lft032a_ph2b
24395,Link,Lft032b_ph2b
