Name       ,Type,Members,Capacity constant,Phase condition,Phase lag
Units      ,,,Ml day^-1,,
23000,Mutually exclusive,EBSD_group_members.csv,,,
23001,Mutually exclusive,EBSD_group_members.csv,,,
23002,Mutually exclusive,EBSD_group_members.csv,,,
23003,Mutually exclusive,EBSD_group_members.csv,,,
23005,Mutually exclusive,EBSD_group_members.csv,,,
23007,Mutually exclusive,EBSD_group_members.csv,,,
23008,Mutually exclusive,EBSD_group_members.csv,,,
23009,Mutually exclusive,EBSD_group_members.csv,,,
23036,Mutually exclusive,EBSD_group_members.csv,,,
23037,Mutually exclusive,EBSD_group_members.csv,,,
23038,Mutually exclusive,EBSD_group_members.csv,,,
23041,Mutually exclusive,EBSD_group_members.csv,,,
23042,Mutually exclusive,EBSD_group_members.csv,,,
23043,Mutually exclusive,EBSD_group_members.csv,,,
23044,Mutually exclusive,EBSD_group_members.csv,,,
23045,Mutually exclusive,EBSD_group_members.csv,,,
23046,Mutually exclusive,EBSD_group_members.csv,,,
23047,Mutually exclusive,EBSD_group_members.csv,,,
23048,Mutually exclusive,EBSD_group_members.csv,,,
23049,Mutually exclusive,EBSD_group_members.csv,,,
23050,Mutually exclusive,EBSD_group_members.csv,,,
23051,Mutually exclusive,EBSD_group_members.csv,,,
23078,Mutually exclusive,EBSD_group_members.csv,,,
23079,Mutually exclusive,EBSD_group_members.csv,,,
23080,Mutually exclusive,EBSD_group_members.csv,,,
23081,Mutually exclusive,EBSD_group_members.csv,,,
23085,Mutually exclusive,EBSD_group_members.csv,,,
23087,Mutually exclusive,EBSD_group_members.csv,,,
23088,Mutually exclusive,EBSD_group_members.csv,,,
23090,Mutually exclusive,EBSD_group_members.csv,,,
23093,Mutually exclusive,EBSD_group_members.csv,,,
23094,Mutually exclusive,EBSD_group_members.csv,,,
23095,Mutually exclusive,EBSD_group_members.csv,,,
23096,Mutually exclusive,EBSD_group_members.csv,,,
23097,Mutually exclusive,EBSD_group_members.csv,,,
23099,Mutually exclusive,EBSD_group_members.csv,,,
23100,Mutually exclusive,EBSD_group_members.csv,,,
23101,Mutually exclusive,EBSD_group_members.csv,,,
23106,Mutually exclusive,EBSD_group_members.csv,,,
23107,Mutually exclusive,EBSD_group_members.csv,,,
23108,Mutually exclusive,EBSD_group_members.csv,,,
23109,Mutually exclusive,EBSD_group_members.csv,,,
23110,Mutually exclusive,EBSD_group_members.csv,,,
23112,Mutually exclusive,EBSD_group_members.csv,,,
23113,Mutually exclusive,EBSD_group_members.csv,,,
23114,Mutually exclusive,EBSD_group_members.csv,,,
23115,Mutually exclusive,EBSD_group_members.csv,,,
23116,Mutually exclusive,EBSD_group_members.csv,,,
23117,Mutually exclusive,EBSD_group_members.csv,,,
23153,Mutually exclusive,EBSD_group_members.csv,,,
23154,Mutually exclusive,EBSD_group_members.csv,,,
23155,Mutually exclusive,EBSD_group_members.csv,,,
23156,Mutually exclusive,EBSD_group_members.csv,,,
23157,Mutually exclusive,EBSD_group_members.csv,,,
23162,Mutually exclusive,EBSD_group_members.csv,,,
23163,Mutually exclusive,EBSD_group_members.csv,,,
23164,Mutually exclusive,EBSD_group_members.csv,,,
23169,Mutually exclusive,EBSD_group_members.csv,,,
23170,Mutually exclusive,EBSD_group_members.csv,,,
23172,Mutually exclusive,EBSD_group_members.csv,,,
23176,Mutually exclusive,EBSD_group_members.csv,,,
23177,Mutually exclusive,EBSD_group_members.csv,,,
23178,Mutually exclusive,EBSD_group_members.csv,,,
23179,Mutually exclusive,EBSD_group_members.csv,,,
23185,Mutually exclusive,EBSD_group_members.csv,,,
23186,Mutually exclusive,EBSD_group_members.csv,,,
23187,Mutually exclusive,EBSD_group_members.csv,,,
23189,Mutually exclusive,EBSD_group_members.csv,,,
30001,Mutually exclusive,EBSD_group_members.csv,,,
30002,Mutually exclusive,EBSD_group_members.csv,,,
30003,Mutually exclusive,EBSD_group_members.csv,,,
30004,Mutually exclusive,EBSD_group_members.csv,,,
30005,Mutually exclusive,EBSD_group_members.csv,,,
30006,Mutually exclusive,EBSD_group_members.csv,,,
