Name ,WRSE Ref,Type,Zone generic,Co. From,Co. to,Zone from,Zone to,Company,WRZ,Earliest Start Year,Year Activated,End year,Asset life,DO,Demand flow,Demand + THR flow,Financial cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,Transfer type,Ratchet,Full capacity,Bi-directional
Lft1009_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1021_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1027_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1028_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1030_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1050_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft184_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft185_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft186_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1011_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
Lft1032_ph2b,(Format; Company-Type-Zone-UniqueID),,(Description; Zone name used for reporting),,,,,,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
