,,,DYAA,DYCP,MDO,NYAA
ExDO01a,01/04/2011 00:00:00,4,5.72,7.50,5.17,5.43
ExDO01a,01/04/2012 00:00:00,4,5.68,7.41,5.11,5.37
ExDO01a,01/04/2013 00:00:00,4,5.61,7.36,5.07,5.33
ExDO01a,01/04/2014 00:00:00,4,5.54,7.32,5.04,5.30
ExDO01a,01/04/2015 00:00:00,4,5.48,7.28,5.02,5.27
ExDO01a,01/04/2016 00:00:00,4,5.45,7.27,5.01,5.27
ExDO01a,01/04/2017 00:00:00,4,5.44,7.26,5.00,5.26
ExDO01a,01/04/2018 00:00:00,4,5.43,7.25,5.00,5.26
ExDO01a,01/04/2019 00:00:00,4,5.43,7.26,5.00,5.26
ExDO01a,01/04/2020 00:00:00,4,5.43,7.26,5.00,5.26
ExDO01a,01/04/2021 00:00:00,4,5.43,7.26,5.01,5.26
ExDO01a,01/04/2022 00:00:00,4,5.43,7.27,5.01,5.27
ExDO01a,01/04/2023 00:00:00,4,5.43,7.28,5.02,5.27
ExDO01a,01/04/2024 00:00:00,4,5.43,7.28,5.02,5.27
ExDO01a,01/04/2025 00:00:00,4,5.44,7.29,5.02,5.28
ExDO01a,01/04/2026 00:00:00,4,5.44,7.30,5.03,5.29
ExDO01a,01/04/2027 00:00:00,4,5.44,7.30,5.03,5.29
ExDO01a,01/04/2028 00:00:00,4,5.45,7.31,5.04,5.30
ExDO01a,01/04/2029 00:00:00,4,5.45,7.32,5.04,5.30
ExDO01a,01/04/2030 00:00:00,4,5.45,7.33,5.05,5.31
ExDO01a,01/04/2031 00:00:00,4,5.45,7.34,5.06,5.31
ExDO01a,01/04/2032 00:00:00,4,5.46,7.34,5.06,5.32
ExDO01a,01/04/2033 00:00:00,4,5.46,7.35,5.07,5.33
ExDO01a,01/04/2034 00:00:00,4,5.46,7.36,5.07,5.33
ExDO01a,01/04/2035 00:00:00,4,5.46,7.37,5.08,5.34
ExDO01a,01/04/2036 00:00:00,4,5.47,7.38,5.09,5.35
ExDO01a,01/04/2037 00:00:00,4,5.47,7.39,5.09,5.36
ExDO01a,01/04/2038 00:00:00,4,5.47,7.40,5.10,5.36
ExDO01a,01/04/2039 00:00:00,4,5.48,7.41,5.11,5.37
ExDO01b,01/04/2011 00:00:00,4,16.58,21.48,17.64,16.67
ExDO01b,01/04/2012 00:00:00,4,16.30,21.18,17.39,16.44
ExDO01b,01/04/2013 00:00:00,4,16.04,20.81,17.09,16.15
ExDO01b,01/04/2014 00:00:00,4,15.83,20.51,16.84,15.92
ExDO01b,01/04/2015 00:00:00,4,15.65,20.23,16.61,15.70
ExDO01b,01/04/2016 00:00:00,4,15.49,20.19,16.58,15.67
ExDO01b,01/04/2017 00:00:00,4,15.46,20.18,16.57,15.67
ExDO01b,01/04/2018 00:00:00,4,15.45,20.21,16.59,15.68
ExDO01b,01/04/2019 00:00:00,4,15.45,20.25,16.63,15.71
ExDO01b,01/04/2020 00:00:00,4,15.46,20.29,16.66,15.75
ExDO01b,01/04/2021 00:00:00,4,15.47,20.32,16.68,15.77
ExDO01b,01/04/2022 00:00:00,4,15.49,20.35,16.71,15.79
ExDO01b,01/04/2023 00:00:00,4,15.52,20.39,16.74,15.83
ExDO01b,01/04/2024 00:00:00,4,15.53,20.42,16.76,15.84
ExDO01b,01/04/2025 00:00:00,4,15.56,20.46,16.80,15.88
ExDO01b,01/04/2026 00:00:00,4,15.57,20.49,16.82,15.90
ExDO01b,01/04/2027 00:00:00,4,15.60,20.53,16.86,15.94
ExDO01b,01/04/2028 00:00:00,4,15.62,20.57,16.89,15.97
ExDO01b,01/04/2029 00:00:00,4,15.65,20.61,16.92,16.00
ExDO01b,01/04/2030 00:00:00,4,15.68,20.66,16.97,16.04
ExDO01b,01/04/2031 00:00:00,4,15.71,20.71,17.00,16.07
ExDO01b,01/04/2032 00:00:00,4,15.73,20.74,17.03,16.10
ExDO01b,01/04/2033 00:00:00,4,15.75,20.79,17.07,16.14
ExDO01b,01/04/2034 00:00:00,4,15.79,20.84,17.11,16.17
ExDO01b,01/04/2035 00:00:00,4,15.82,20.88,17.15,16.21
ExDO01b,01/04/2036 00:00:00,4,15.84,20.93,17.18,16.24
ExDO01b,01/04/2037 00:00:00,4,15.87,20.98,17.22,16.28
ExDO01b,01/04/2038 00:00:00,4,15.89,21.02,17.26,16.32
ExDO01b,01/04/2039 00:00:00,4,15.93,21.08,17.31,16.36
ExDO01c,01/04/2011 00:00:00,4,157.84,207.09,155.53,161.11
ExDO01c,01/04/2012 00:00:00,4,156.23,203.42,152.78,158.25
ExDO01c,01/04/2013 00:00:00,4,154.13,200.81,150.81,156.22
ExDO01c,01/04/2014 00:00:00,4,152.23,198.32,148.94,154.28
ExDO01c,01/04/2015 00:00:00,4,150.82,196.27,147.41,152.69
ExDO01c,01/04/2016 00:00:00,4,149.65,196.00,147.20,152.48
ExDO01c,01/04/2017 00:00:00,4,149.35,196.02,147.22,152.49
ExDO01c,01/04/2018 00:00:00,4,149.10,196.22,147.36,152.65
ExDO01c,01/04/2019 00:00:00,4,149.20,196.55,147.62,152.91
ExDO01c,01/04/2020 00:00:00,4,149.36,196.99,147.95,153.25
ExDO01c,01/04/2021 00:00:00,4,149.55,197.43,148.28,153.59
ExDO01c,01/04/2022 00:00:00,4,149.78,197.89,148.63,153.95
ExDO01c,01/04/2023 00:00:00,4,150.05,198.43,149.02,154.37
ExDO01c,01/04/2024 00:00:00,4,150.36,198.91,149.39,154.74
ExDO01c,01/04/2025 00:00:00,4,150.70,199.39,149.75,155.12
ExDO01c,01/04/2026 00:00:00,4,151.07,199.93,150.16,155.54
ExDO01c,01/04/2027 00:00:00,4,151.42,200.52,150.59,155.99
ExDO01c,01/04/2028 00:00:00,4,151.77,201.11,151.04,156.45
ExDO01c,01/04/2029 00:00:00,4,152.12,201.71,151.49,156.92
ExDO01c,01/04/2030 00:00:00,4,152.48,202.35,151.97,157.42
ExDO01c,01/04/2031 00:00:00,4,152.84,202.99,152.45,157.91
ExDO01c,01/04/2032 00:00:00,4,153.21,203.64,152.94,158.42
ExDO01c,01/04/2033 00:00:00,4,153.58,204.31,153.44,158.94
ExDO01c,01/04/2034 00:00:00,4,153.94,204.96,153.93,159.45
ExDO01c,01/04/2035 00:00:00,4,154.26,205.63,154.44,159.97
ExDO01c,01/04/2036 00:00:00,4,154.62,206.36,154.98,160.54
ExDO01c,01/04/2037 00:00:00,4,154.98,207.08,155.52,161.10
ExDO01c,01/04/2038 00:00:00,4,155.35,207.83,156.08,161.68
ExDO01c,01/04/2039 00:00:00,4,155.72,208.59,156.66,162.27
ExDO02,01/04/2011 00:00:00,4,36.06,46.18,34.85,36.40
ExDO02,01/04/2012 00:00:00,4,35.92,45.37,34.23,35.75
ExDO02,01/04/2013 00:00:00,4,35.67,45.14,34.06,35.57
ExDO02,01/04/2014 00:00:00,4,35.43,44.91,33.89,35.39
ExDO02,01/04/2015 00:00:00,4,35.28,44.79,33.80,35.30
ExDO02,01/04/2016 00:00:00,4,35.14,44.67,33.70,35.20
ExDO02,01/04/2017 00:00:00,4,35.04,44.64,33.68,35.18
ExDO02,01/04/2018 00:00:00,4,34.95,44.66,33.70,35.20
ExDO02,01/04/2019 00:00:00,4,34.96,44.73,33.75,35.25
ExDO02,01/04/2020 00:00:00,4,34.97,44.80,33.81,35.31
ExDO02,01/04/2021 00:00:00,4,35.01,44.90,33.88,35.39
ExDO02,01/04/2022 00:00:00,4,35.04,45.00,33.95,35.46
ExDO02,01/04/2023 00:00:00,4,35.08,45.10,34.03,35.54
ExDO02,01/04/2024 00:00:00,4,35.13,45.21,34.11,35.63
ExDO02,01/04/2025 00:00:00,4,35.19,45.32,34.20,35.72
ExDO02,01/04/2026 00:00:00,4,35.26,45.45,34.29,35.82
ExDO02,01/04/2027 00:00:00,4,35.31,45.56,34.38,35.91
ExDO02,01/04/2028 00:00:00,4,35.38,45.68,34.47,36.00
ExDO02,01/04/2029 00:00:00,4,35.44,45.79,34.55,36.09
ExDO02,01/04/2030 00:00:00,4,35.52,45.93,34.66,36.20
ExDO02,01/04/2031 00:00:00,4,35.59,46.05,34.75,36.29
ExDO02,01/04/2032 00:00:00,4,35.65,46.16,34.83,36.38
ExDO02,01/04/2033 00:00:00,4,35.70,46.27,34.91,36.47
ExDO02,01/04/2034 00:00:00,4,35.77,46.40,35.01,36.57
ExDO02,01/04/2035 00:00:00,4,35.82,46.52,35.11,36.67
ExDO02,01/04/2036 00:00:00,4,35.87,46.65,35.20,36.77
ExDO02,01/04/2037 00:00:00,4,35.93,46.78,35.30,36.87
ExDO02,01/04/2038 00:00:00,4,35.99,46.92,35.40,36.98
ExDO02,01/04/2039 00:00:00,4,36.05,47.06,35.51,37.09
ExDO03,01/04/2011 00:00:00,4,67.58,83.01,64.00,64.68
ExDO03,01/04/2012 00:00:00,4,67.27,81.98,63.20,63.87
ExDO03,01/04/2013 00:00:00,4,66.37,80.90,62.37,63.04
ExDO03,01/04/2014 00:00:00,4,65.55,79.88,61.59,62.24
ExDO03,01/04/2015 00:00:00,4,64.98,79.08,60.97,61.62
ExDO03,01/04/2016 00:00:00,4,64.53,79.09,60.97,61.62
ExDO03,01/04/2017 00:00:00,4,64.51,79.17,61.04,61.69
ExDO03,01/04/2018 00:00:00,4,64.53,79.34,61.17,61.82
ExDO03,01/04/2019 00:00:00,4,64.69,79.58,61.35,62.00
ExDO03,01/04/2020 00:00:00,4,64.89,79.87,61.57,62.23
ExDO03,01/04/2021 00:00:00,4,65.10,80.19,61.82,62.48
ExDO03,01/04/2022 00:00:00,4,65.33,80.51,62.07,62.73
ExDO03,01/04/2023 00:00:00,4,65.54,80.82,62.31,62.97
ExDO03,01/04/2024 00:00:00,4,65.78,81.16,62.57,63.24
ExDO03,01/04/2025 00:00:00,4,66.01,81.49,62.83,63.49
ExDO03,01/04/2026 00:00:00,4,66.26,81.84,63.09,63.77
ExDO03,01/04/2027 00:00:00,4,66.51,82.18,63.36,64.03
ExDO03,01/04/2028 00:00:00,4,66.75,82.51,63.61,64.29
ExDO03,01/04/2029 00:00:00,4,67.00,82.85,63.87,64.55
ExDO03,01/04/2030 00:00:00,4,67.25,83.20,64.14,64.82
ExDO03,01/04/2031 00:00:00,4,67.49,83.52,64.39,65.07
ExDO03,01/04/2032 00:00:00,4,67.75,83.88,64.67,65.35
ExDO03,01/04/2033 00:00:00,4,68.01,84.23,64.93,65.62
ExDO03,01/04/2034 00:00:00,4,68.23,84.57,65.20,65.89
ExDO03,01/04/2035 00:00:00,4,68.47,84.94,65.48,66.18
ExDO03,01/04/2036 00:00:00,4,68.70,85.29,65.75,66.45
ExDO03,01/04/2037 00:00:00,4,68.94,85.64,66.03,66.73
ExDO03,01/04/2038 00:00:00,4,69.18,86.01,66.31,67.01
ExDO03,01/04/2039 00:00:00,4,69.42,86.38,66.59,67.30
ExDO06a,01/04/2011 00:00:00,4,86.15,106.28,86.60,88.56
ExDO06a,01/04/2012 00:00:00,4,85.92,103.44,84.28,86.20
ExDO06a,01/04/2013 00:00:00,4,84.50,101.59,82.78,84.66
ExDO06a,01/04/2014 00:00:00,4,83.17,99.81,81.33,83.17
ExDO06a,01/04/2015 00:00:00,4,82.10,98.31,80.10,81.92
ExDO06a,01/04/2016 00:00:00,4,81.11,98.13,79.96,81.77
ExDO06a,01/04/2017 00:00:00,4,80.97,98.11,79.94,81.76
ExDO06a,01/04/2018 00:00:00,4,80.83,98.17,79.99,81.80
ExDO06a,01/04/2019 00:00:00,4,80.90,98.34,80.13,81.94
ExDO06a,01/04/2020 00:00:00,4,80.98,98.53,80.28,82.11
ExDO06a,01/04/2021 00:00:00,4,81.09,98.74,80.46,82.28
ExDO06a,01/04/2022 00:00:00,4,81.22,98.95,80.63,82.46
ExDO06a,01/04/2023 00:00:00,4,81.38,99.20,80.83,82.66
ExDO06a,01/04/2024 00:00:00,4,81.58,99.49,81.07,82.90
ExDO06a,01/04/2025 00:00:00,4,81.79,99.79,81.31,83.16
ExDO06a,01/04/2026 00:00:00,4,82.03,100.12,81.58,83.43
ExDO06a,01/04/2027 00:00:00,4,82.28,100.47,81.86,83.72
ExDO06a,01/04/2028 00:00:00,4,82.56,100.86,82.18,84.04
ExDO06a,01/04/2029 00:00:00,4,82.83,101.24,82.49,84.36
ExDO06a,01/04/2030 00:00:00,4,83.11,101.63,82.81,84.69
ExDO06a,01/04/2031 00:00:00,4,83.40,102.03,83.13,85.02
ExDO06a,01/04/2032 00:00:00,4,83.70,102.45,83.47,85.37
ExDO06a,01/04/2033 00:00:00,4,84.02,102.87,83.82,85.72
ExDO06a,01/04/2034 00:00:00,4,84.31,103.29,84.16,86.07
ExDO06a,01/04/2035 00:00:00,4,84.61,103.72,84.51,86.43
ExDO06a,01/04/2036 00:00:00,4,84.92,104.18,84.89,86.81
ExDO06a,01/04/2037 00:00:00,4,85.24,104.64,85.26,87.19
ExDO06a,01/04/2038 00:00:00,4,85.56,105.11,85.65,87.59
ExDO06a,01/04/2039 00:00:00,4,85.88,105.59,86.03,87.99
ExDO06b,01/04/2011 00:00:00,4,43.12,54.75,44.61,45.62
ExDO06b,01/04/2012 00:00:00,4,43.23,53.74,43.79,44.78
ExDO06b,01/04/2013 00:00:00,4,42.54,53.21,43.36,44.34
ExDO06b,01/04/2014 00:00:00,4,41.92,52.70,42.94,43.91
ExDO06b,01/04/2015 00:00:00,4,41.49,52.34,42.65,43.61
ExDO06b,01/04/2016 00:00:00,4,41.14,52.34,42.65,43.61
ExDO06b,01/04/2017 00:00:00,4,41.16,52.43,42.72,43.69
ExDO06b,01/04/2018 00:00:00,4,41.18,52.54,42.81,43.78
ExDO06b,01/04/2019 00:00:00,4,41.29,52.72,42.95,43.93
ExDO06b,01/04/2020 00:00:00,4,41.42,52.91,43.11,44.09
ExDO06b,01/04/2021 00:00:00,4,41.55,53.12,43.29,44.27
ExDO06b,01/04/2022 00:00:00,4,41.67,53.32,43.44,44.43
ExDO06b,01/04/2023 00:00:00,4,41.83,53.55,43.63,44.62
ExDO06b,01/04/2024 00:00:00,4,41.98,53.77,43.82,44.81
ExDO06b,01/04/2025 00:00:00,4,42.14,54.01,44.01,45.01
ExDO06b,01/04/2026 00:00:00,4,42.32,54.27,44.22,45.22
ExDO06b,01/04/2027 00:00:00,4,42.49,54.51,44.41,45.42
ExDO06b,01/04/2028 00:00:00,4,42.67,54.75,44.61,45.62
ExDO06b,01/04/2029 00:00:00,4,42.84,54.99,44.80,45.82
ExDO06b,01/04/2030 00:00:00,4,43.01,55.22,45.00,46.02
ExDO06b,01/04/2031 00:00:00,4,43.18,55.45,45.18,46.21
ExDO06b,01/04/2032 00:00:00,4,43.37,55.69,45.38,46.41
ExDO06b,01/04/2033 00:00:00,4,43.53,55.93,45.57,46.61
ExDO06b,01/04/2034 00:00:00,4,43.71,56.18,45.78,46.82
ExDO06b,01/04/2035 00:00:00,4,43.86,56.43,45.98,47.02
ExDO06b,01/04/2036 00:00:00,4,44.03,56.69,46.19,47.24
ExDO06b,01/04/2037 00:00:00,4,44.20,56.96,46.41,47.46
ExDO06b,01/04/2038 00:00:00,4,44.37,57.23,46.63,47.69
ExDO06b,01/04/2039 00:00:00,4,44.55,57.50,46.85,47.91
ExDO07,01/04/2011 00:00:00,4,25.51,32.52,26.62,26.62
ExDO07,01/04/2012 00:00:00,4,25.33,31.39,25.69,25.69
ExDO07,01/04/2013 00:00:00,4,24.92,30.85,25.25,25.25
ExDO07,01/04/2014 00:00:00,4,24.56,30.35,24.84,24.84
ExDO07,01/04/2015 00:00:00,4,24.27,29.92,24.49,24.49
ExDO07,01/04/2016 00:00:00,4,24.01,29.85,24.43,24.43
ExDO07,01/04/2017 00:00:00,4,23.97,29.85,24.43,24.43
ExDO07,01/04/2018 00:00:00,4,23.93,29.87,24.44,24.44
ExDO07,01/04/2019 00:00:00,4,23.95,29.91,24.48,24.48
ExDO07,01/04/2020 00:00:00,4,23.98,29.98,24.53,24.53
