,,,DYAA,DYCP,MDO,NYAA
ExDO01a,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2015 00:00:00,4,2.61,0.60,2.77,2.61
ExDO01a,01/04/2016 00:00:00,4,2.61,0.61,2.78,2.61
ExDO01a,01/04/2017 00:00:00,4,2.62,0.62,2.79,2.62
ExDO01a,01/04/2018 00:00:00,4,2.62,0.63,2.79,2.62
ExDO01a,01/04/2019 00:00:00,4,2.61,0.62,2.78,2.61
ExDO01a,01/04/2020 00:00:00,4,2.61,0.61,2.78,2.61
ExDO01a,01/04/2021 00:00:00,4,2.61,0.61,2.77,2.61
ExDO01a,01/04/2022 00:00:00,4,2.59,0.59,2.76,2.59
ExDO01a,01/04/2023 00:00:00,4,2.59,0.57,2.75,2.59
ExDO01a,01/04/2024 00:00:00,4,2.59,0.57,2.75,2.59
ExDO01a,01/04/2025 00:00:00,4,2.57,0.55,2.74,2.57
ExDO01a,01/04/2026 00:00:00,4,2.56,0.53,2.73,2.56
ExDO01a,01/04/2027 00:00:00,4,2.55,0.52,2.72,2.55
ExDO01a,01/04/2028 00:00:00,4,2.53,0.50,2.70,2.53
ExDO01a,01/04/2029 00:00:00,4,2.53,0.48,2.70,2.53
ExDO01a,01/04/2030 00:00:00,4,2.51,0.46,2.68,2.51
ExDO01a,01/04/2031 00:00:00,4,2.51,0.44,2.67,2.51
ExDO01a,01/04/2032 00:00:00,4,2.49,0.44,2.66,2.49
ExDO01a,01/04/2033 00:00:00,4,2.48,0.42,2.65,2.48
ExDO01a,01/04/2034 00:00:00,4,2.47,0.40,2.64,2.47
ExDO01a,01/04/2035 00:00:00,4,2.45,0.38,2.62,2.45
ExDO01a,01/04/2036 00:00:00,4,2.44,0.36,2.61,2.44
ExDO01a,01/04/2037 00:00:00,4,2.42,0.34,2.60,2.42
ExDO01a,01/04/2038 00:00:00,4,2.41,0.32,2.58,2.41
ExDO01a,01/04/2039 00:00:00,4,2.39,0.30,2.56,2.39
ExDO01b,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2015 00:00:00,4,4.80,4.87,3.74,4.80
ExDO01b,01/04/2016 00:00:00,4,4.83,4.41,3.28,4.83
ExDO01b,01/04/2017 00:00:00,4,4.82,4.41,3.28,4.82
ExDO01b,01/04/2018 00:00:00,4,4.80,4.37,3.25,4.80
ExDO01b,01/04/2019 00:00:00,4,4.77,4.33,3.21,4.77
ExDO01b,01/04/2020 00:00:00,4,4.71,4.27,3.16,4.71
ExDO01b,01/04/2021 00:00:00,4,4.67,4.21,3.12,4.67
ExDO01b,01/04/2022 00:00:00,4,4.63,4.16,3.07,4.63
ExDO01b,01/04/2023 00:00:00,4,4.57,4.10,3.02,4.57
ExDO01b,01/04/2024 00:00:00,4,4.55,4.05,2.99,4.55
ExDO01b,01/04/2025 00:00:00,4,4.48,3.98,2.92,4.48
ExDO01b,01/04/2026 00:00:00,4,4.43,3.91,2.87,4.43
ExDO01b,01/04/2027 00:00:00,4,4.37,3.83,2.81,4.37
ExDO01b,01/04/2028 00:00:00,4,4.31,3.76,2.75,4.31
ExDO01b,01/04/2029 00:00:00,4,4.25,3.68,2.69,4.25
ExDO01b,01/04/2030 00:00:00,4,4.18,3.59,2.61,4.18
ExDO01b,01/04/2031 00:00:00,4,4.11,3.49,2.54,4.11
ExDO01b,01/04/2032 00:00:00,4,4.04,3.42,2.47,4.04
ExDO01b,01/04/2033 00:00:00,4,3.97,3.32,2.40,3.97
ExDO01b,01/04/2034 00:00:00,4,3.90,3.23,2.32,3.90
ExDO01b,01/04/2035 00:00:00,4,3.81,3.14,2.23,3.81
ExDO01b,01/04/2036 00:00:00,4,3.74,3.04,2.16,3.74
ExDO01b,01/04/2037 00:00:00,4,3.66,2.94,2.08,3.66
ExDO01b,01/04/2038 00:00:00,4,3.58,2.85,2.00,3.58
ExDO01b,01/04/2039 00:00:00,4,3.49,2.74,1.90,3.49
ExDO01c,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2015 00:00:00,4,144.37,71.42,106.78,124.44
ExDO01c,01/04/2016 00:00:00,4,78.47,18.75,42.43,155.04
ExDO01c,01/04/2017 00:00:00,4,78.05,17.88,42.14,154.34
ExDO01c,01/04/2018 00:00:00,4,77.54,16.96,41.69,153.45
ExDO01c,01/04/2019 00:00:00,4,74.07,2.61,40.37,150.77
ExDO01c,01/04/2020 00:00:00,4,73.08,1.09,39.60,149.57
ExDO01c,01/04/2021 00:00:00,4,72.33,0.00,39.12,148.66
ExDO01c,01/04/2022 00:00:00,4,71.28,0.00,38.33,147.44
ExDO01c,01/04/2023 00:00:00,4,70.26,0.00,37.59,146.25
ExDO01c,01/04/2024 00:00:00,4,69.21,0.00,36.86,145.09
ExDO01c,01/04/2025 00:00:00,4,68.01,0.00,36.02,143.82
ExDO01c,01/04/2026 00:00:00,4,66.77,0.00,35.12,142.48
ExDO01c,01/04/2027 00:00:00,4,65.57,0.00,34.22,141.14
ExDO01c,01/04/2028 00:00:00,4,64.36,0.00,32.48,139.77
ExDO01c,01/04/2029 00:00:00,4,63.15,18.40,31.51,137.56
ExDO01c,01/04/2030 00:00:00,4,61.87,16.57,31.00,136.06
ExDO01c,01/04/2031 00:00:00,4,60.62,14.75,30.63,134.59
ExDO01c,01/04/2032 00:00:00,4,59.36,12.93,29.64,133.10
ExDO01c,01/04/2033 00:00:00,4,58.10,11.11,28.63,131.60
ExDO01c,01/04/2034 00:00:00,4,56.84,9.26,27.61,130.10
ExDO01c,01/04/2035 00:00:00,4,55.54,7.37,26.49,128.51
ExDO01c,01/04/2036 00:00:00,4,54.30,5.40,25.36,126.97
ExDO01c,01/04/2037 00:00:00,4,53.08,3.44,24.23,125.43
ExDO01c,01/04/2038 00:00:00,4,51.84,1.44,23.06,123.87
ExDO01c,01/04/2039 00:00:00,4,58.36,0.00,29.64,122.82
ExDO02,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2015 00:00:00,4,2.43,0.06,2.13,2.43
ExDO02,01/04/2016 00:00:00,4,2.41,0.00,2.11,2.41
ExDO02,01/04/2017 00:00:00,4,2.39,0.14,2.09,2.39
ExDO02,01/04/2018 00:00:00,4,2.37,0.08,2.07,2.37
ExDO02,01/04/2019 00:00:00,4,2.16,0.00,2.08,2.16
ExDO02,01/04/2020 00:00:00,4,2.14,0.13,2.06,2.14
ExDO02,01/04/2021 00:00:00,4,2.11,0.08,2.03,2.11
ExDO02,01/04/2022 00:00:00,4,2.09,0.12,2.01,2.09
ExDO02,01/04/2023 00:00:00,4,2.06,0.08,1.98,2.06
ExDO02,01/04/2024 00:00:00,4,2.04,0.02,1.96,2.04
ExDO02,01/04/2025 00:00:00,4,2.30,0.36,2.22,2.30
ExDO02,01/04/2026 00:00:00,4,2.26,0.19,2.18,2.26
ExDO02,01/04/2027 00:00:00,4,2.22,0.00,2.14,2.22
ExDO02,01/04/2028 00:00:00,4,2.18,0.00,2.90,2.18
ExDO02,01/04/2029 00:00:00,4,2.14,0.00,2.90,2.98
ExDO02,01/04/2030 00:00:00,4,2.09,0.00,2.34,2.98
ExDO02,01/04/2031 00:00:00,4,2.05,0.00,1.67,2.98
ExDO02,01/04/2032 00:00:00,4,2.00,0.00,1.62,2.98
ExDO02,01/04/2033 00:00:00,4,1.96,0.00,1.58,2.98
ExDO02,01/04/2034 00:00:00,4,1.91,0.00,1.53,2.98
ExDO02,01/04/2035 00:00:00,4,1.85,0.00,1.48,2.97
ExDO02,01/04/2036 00:00:00,4,1.69,0.00,1.42,2.87
ExDO02,01/04/2037 00:00:00,4,1.53,0.00,1.36,2.77
ExDO02,01/04/2038 00:00:00,4,1.36,0.00,1.30,2.66
ExDO02,01/04/2039 00:00:00,4,1.20,0.00,1.25,2.55
ExDO03,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2015 00:00:00,4,8.40,9.56,-6.84,8.40
ExDO03,01/04/2016 00:00:00,4,8.26,9.64,0.00,8.26
ExDO03,01/04/2017 00:00:00,4,8.12,9.73,0.00,8.12
ExDO03,01/04/2018 00:00:00,4,7.98,9.82,0.77,7.98
ExDO03,01/04/2019 00:00:00,4,2.28,9.42,0.00,2.28
ExDO03,01/04/2020 00:00:00,4,0.97,4.00,0.00,0.97
ExDO03,01/04/2021 00:00:00,4,0.95,3.98,0.00,0.95
ExDO03,01/04/2022 00:00:00,4,0.56,3.95,0.00,0.56
ExDO03,01/04/2023 00:00:00,4,0.00,3.93,0.00,0.00
ExDO03,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2015 00:00:00,4,5.49,0.75,5.49,5.49
ExDO06a,01/04/2016 00:00:00,4,5.52,0.71,5.51,5.52
ExDO06a,01/04/2017 00:00:00,4,5.40,0.52,5.40,5.40
ExDO06a,01/04/2018 00:00:00,4,5.24,0.24,5.23,5.24
ExDO06a,01/04/2019 00:00:00,4,4.51,1.98,4.52,4.51
ExDO06a,01/04/2020 00:00:00,4,4.21,1.41,4.24,4.21
ExDO06a,01/04/2021 00:00:00,4,3.91,0.81,3.93,3.91
ExDO06a,01/04/2022 00:00:00,4,3.61,0.22,3.64,3.61
ExDO06a,01/04/2023 00:00:00,4,3.28,0.00,3.31,3.28
ExDO06a,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2038 00:00:00,4,3.93,0.00,0.00,3.93
ExDO06a,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2015 00:00:00,4,4.26,1.65,0.00,4.26
ExDO06b,01/04/2016 00:00:00,4,4.21,1.62,0.00,4.21
ExDO06b,01/04/2017 00:00:00,4,4.02,1.43,0.00,4.02
ExDO06b,01/04/2018 00:00:00,4,3.76,1.11,0.00,3.76
ExDO06b,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2020 00:00:00,4,0.00,3.07,0.76,0.00
ExDO06b,01/04/2021 00:00:00,4,0.00,2.36,0.19,0.00
ExDO06b,01/04/2022 00:00:00,4,0.00,1.65,0.00,0.00
ExDO06b,01/04/2023 00:00:00,4,0.00,0.51,0.00,0.00
ExDO06b,01/04/2024 00:00:00,4,2.00,2.00,0.13,2.00
ExDO06b,01/04/2025 00:00:00,4,0.58,0.80,0.00,2.00
ExDO06b,01/04/2026 00:00:00,4,0.00,0.00,0.00,2.00
ExDO06b,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.53
ExDO06b,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2039 00:00:00,4,1.22,0.00,0.00,11.92
ExDO07,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2015 00:00:00,4,0.10,7.60,0.10,0.10
ExDO07,01/04/2016 00:00:00,4,0.12,7.65,0.12,0.12
ExDO07,01/04/2017 00:00:00,4,0.13,7.63,0.13,0.13
ExDO07,01/04/2018 00:00:00,4,0.15,7.59,0.15,0.15
ExDO07,01/04/2019 00:00:00,4,0.03,7.53,0.03,0.03
ExDO07,01/04/2020 00:00:00,4,0.00,7.42,0.00,0.00
ExDO07,01/04/2021 00:00:00,4,0.00,7.32,0.00,0.00
ExDO07,01/04/2022 00:00:00,4,0.00,7.20,0.00,0.00
ExDO07,01/04/2023 00:00:00,4,0.00,7.09,0.00,0.00
ExDO07,01/04/2024 00:00:00,4,0.00,6.98,0.00,0.00
ExDO07,01/04/2025 00:00:00,4,0.00,6.85,0.00,0.00
ExDO07,01/04/2026 00:00:00,4,0.00,6.73,0.00,0.00
ExDO07,01/04/2027 00:00:00,4,0.00,8.03,0.00,0.00
ExDO07,01/04/2028 00:00:00,4,0.00,6.47,0.00,0.00
ExDO07,01/04/2029 00:00:00,4,0.00,6.33,0.00,0.00
ExDO07,01/04/2030 00:00:00,4,0.00,6.16,0.00,0.00
ExDO07,01/04/2031 00:00:00,4,0.00,5.99,0.00,0.00
ExDO07,01/04/2032 00:00:00,4,0.00,6.02,0.00,0.00
ExDO07,01/04/2033 00:00:00,4,0.00,5.84,0.00,0.00
ExDO07,01/04/2034 00:00:00,4,0.00,5.95,0.00,0.00
ExDO07,01/04/2035 00:00:00,4,0.00,5.77,0.00,0.00
ExDO07,01/04/2036 00:00:00,4,0.00,5.58,0.00,0.00
ExDO07,01/04/2037 00:00:00,4,0.00,5.38,0.00,0.00
ExDO07,01/04/2038 00:00:00,4,0.00,5.19,0.00,0.00
ExDO07,01/04/2039 00:00:00,4,0.00,5.00,0.00,0.00
ExDO12,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
