,,,DYAA,DYCP,MDO,NYAA
ExDO01a,01/04/2011 00:00:00,4,0.31,0.45,0.31,0.31
ExDO01a,01/04/2012 00:00:00,4,0.31,0.45,0.31,0.31
ExDO01a,01/04/2013 00:00:00,4,0.31,0.45,0.31,0.31
ExDO01a,01/04/2014 00:00:00,4,0.31,0.46,0.31,0.31
ExDO01a,01/04/2015 00:00:00,4,0.31,0.46,0.31,0.31
ExDO01a,01/04/2016 00:00:00,4,0.31,0.46,0.31,0.31
ExDO01a,01/04/2017 00:00:00,4,0.31,0.46,0.31,0.31
ExDO01a,01/04/2018 00:00:00,4,0.32,0.47,0.32,0.32
ExDO01a,01/04/2019 00:00:00,4,0.31,0.46,0.31,0.31
ExDO01a,01/04/2020 00:00:00,4,0.31,0.45,0.31,0.31
ExDO01a,01/04/2021 00:00:00,4,0.31,0.44,0.31,0.31
ExDO01a,01/04/2022 00:00:00,4,0.31,0.44,0.31,0.31
ExDO01a,01/04/2023 00:00:00,4,0.31,0.43,0.31,0.31
ExDO01a,01/04/2024 00:00:00,4,0.30,0.43,0.30,0.30
ExDO01a,01/04/2025 00:00:00,4,0.30,0.43,0.30,0.30
ExDO01a,01/04/2026 00:00:00,4,0.30,0.43,0.30,0.30
ExDO01a,01/04/2027 00:00:00,4,0.29,0.44,0.29,0.29
ExDO01a,01/04/2028 00:00:00,4,0.29,0.44,0.29,0.29
ExDO01a,01/04/2029 00:00:00,4,0.29,0.44,0.29,0.29
ExDO01a,01/04/2030 00:00:00,4,0.29,0.44,0.29,0.29
ExDO01a,01/04/2031 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2032 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2033 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2034 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2035 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2036 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2037 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2038 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01a,01/04/2039 00:00:00,4,0.29,0.43,0.29,0.29
ExDO01b,01/04/2011 00:00:00,4,0.94,1.44,0.94,0.94
ExDO01b,01/04/2012 00:00:00,4,0.94,1.44,0.94,0.94
ExDO01b,01/04/2013 00:00:00,4,0.94,1.43,0.94,0.94
ExDO01b,01/04/2014 00:00:00,4,0.97,1.53,0.97,0.97
ExDO01b,01/04/2015 00:00:00,4,0.97,1.53,0.97,0.97
ExDO01b,01/04/2016 00:00:00,4,0.97,1.52,0.97,0.97
ExDO01b,01/04/2017 00:00:00,4,0.98,1.53,0.98,0.98
ExDO01b,01/04/2018 00:00:00,4,0.98,1.54,0.98,0.98
ExDO01b,01/04/2019 00:00:00,4,0.97,1.53,0.97,0.97
ExDO01b,01/04/2020 00:00:00,4,0.96,1.51,0.96,0.96
ExDO01b,01/04/2021 00:00:00,4,0.95,1.49,0.95,0.95
ExDO01b,01/04/2022 00:00:00,4,0.94,1.47,0.94,0.94
ExDO01b,01/04/2023 00:00:00,4,0.93,1.45,0.93,0.93
ExDO01b,01/04/2024 00:00:00,4,0.92,1.46,0.92,0.92
ExDO01b,01/04/2025 00:00:00,4,0.92,1.46,0.92,0.92
ExDO01b,01/04/2026 00:00:00,4,0.91,1.46,0.91,0.91
ExDO01b,01/04/2027 00:00:00,4,0.91,1.47,0.91,0.91
ExDO01b,01/04/2028 00:00:00,4,0.90,1.47,0.90,0.90
ExDO01b,01/04/2029 00:00:00,4,0.90,1.47,0.90,0.90
ExDO01b,01/04/2030 00:00:00,4,0.90,1.47,0.90,0.90
ExDO01b,01/04/2031 00:00:00,4,0.90,1.46,0.90,0.90
ExDO01b,01/04/2032 00:00:00,4,0.89,1.46,0.89,0.89
ExDO01b,01/04/2033 00:00:00,4,0.89,1.46,0.89,0.89
ExDO01b,01/04/2034 00:00:00,4,0.89,1.45,0.89,0.89
ExDO01b,01/04/2035 00:00:00,4,0.89,1.45,0.89,0.89
ExDO01b,01/04/2036 00:00:00,4,0.89,1.45,0.89,0.89
ExDO01b,01/04/2037 00:00:00,4,0.89,1.44,0.89,0.89
ExDO01b,01/04/2038 00:00:00,4,0.89,1.44,0.89,0.89
ExDO01b,01/04/2039 00:00:00,4,0.89,1.44,0.89,0.89
ExDO01c,01/04/2011 00:00:00,4,8.52,10.80,8.52,8.52
ExDO01c,01/04/2012 00:00:00,4,8.43,10.70,8.43,8.43
ExDO01c,01/04/2013 00:00:00,4,8.27,10.55,8.27,8.27
ExDO01c,01/04/2014 00:00:00,4,8.29,10.46,8.29,8.29
ExDO01c,01/04/2015 00:00:00,4,8.46,10.66,8.46,8.46
ExDO01c,01/04/2016 00:00:00,4,8.66,10.91,8.66,8.66
ExDO01c,01/04/2017 00:00:00,4,8.92,11.22,8.92,8.92
ExDO01c,01/04/2018 00:00:00,4,9.04,11.25,9.04,9.04
ExDO01c,01/04/2019 00:00:00,4,8.80,11.16,8.80,8.80
ExDO01c,01/04/2020 00:00:00,4,8.55,11.06,8.55,8.55
ExDO01c,01/04/2021 00:00:00,4,8.29,10.94,8.29,8.29
ExDO01c,01/04/2022 00:00:00,4,8.04,10.84,8.04,8.04
ExDO01c,01/04/2023 00:00:00,4,7.78,10.72,7.78,7.78
ExDO01c,01/04/2024 00:00:00,4,7.76,10.62,7.76,7.76
