,,,Cost
 EBSD,01/04/2011 12:11,1,23
 EBSD,01/04/2012 00:00,1,23
 EBSD,01/04/2013 00:00,1,23
 EBSD,01/04/2014 00:00,1,23
 EBSD,01/04/2015 00:00,1,23
 EBSD,01/04/2016 00:00,1,24
 EBSD,01/04/2017 00:00,1,24
 EBSD,01/04/2018 00:00,1,24
 EBSD,01/04/2019 00:00,1,25
 EBSD,01/04/2020 00:00,1,25
 EBSD,01/04/2021 00:00,1,30
 EBSD,01/04/2022 00:00,1,34
 EBSD,01/04/2023 00:00,1,39
 EBSD,01/04/2024 00:00,1,43
 EBSD,01/04/2025 00:00,1,48
 EBSD,01/04/2026 00:00,1,52
 EBSD,01/04/2027 00:00,1,57
 EBSD,01/04/2028 00:00,1,61
 EBSD,01/04/2029 00:00,1,66
 EBSD,01/04/2030 00:00,1,70
 EBSD,01/04/2031 00:00,1,77
 EBSD,01/04/2032 00:00,1,83
 EBSD,01/04/2033 00:00,1,90
 EBSD,01/04/2034 00:00,1,96
 EBSD,01/04/2035 00:00,1,103
 EBSD,01/04/2036 00:00,1,109
 EBSD,01/04/2037 00:00,1,116
 EBSD,01/04/2038 00:00,1,122
 EBSD,01/04/2039 00:00,1,129
