,,NYAA,DYAA,DYCP,MDO
Sop684_ph2b,4,25,25,25,25
Sop685_ph2b,4,20,20,20,20
Sop686_ph2b,4,9,9,9,9
Sop687_ph2b,4,10,10,10,10
Sop688_ph2b,4,20,20,20,20
Sop689_ph2b,4,30,30,30,30
Sop690_ph2b,4,0,24,21,40
Sop691_ph2b,4,8.17,7.17,7.47,5.28
Sop692_ph2b,4,9.56,9.56,9.56,9.26
Sop693_ph2b,4,0,0,5,0
Sop694_ph2b,4,0,0,2.5,0
Sop701_ph2b,4,0,0,5,0
Sop1000_ph2b,4,0,0,5,0
Sop695_ph2b,4,0.77,0.77,1.85,0.77
Sop696_ph2b,4,0.38,0.38,2.57,0.38
Sop1001_ph2b,4,1.37,1.37,2.14,1.37
Sop1002_ph2b,4,0,0,0.77,0
Sop1003_ph2b,4,1.37,1.37,1.37,1.37
Sop1004_ph2b,4,0,0,14.5,0
Sop1005_ph2b,4,0,0,5,0
Sop697_ph2b,4,0,0,3.15,0
Sop698_ph2b,4,3.4,3.4,3.4,3.4
Sop699_ph2b,4,6.4,6.4,0,6.4
Sop1007_ph2b,4,0,0,20,0
Sop1008_ph2b,4,2.07,2.07,4.54,2.07
Sop1125_ph2b,4,0,0,5,0
Sop1127_ph2b,4,0,0,5,0
Sop1128_ph2b,4,0,0,5,0
Sop928_ph2b,4,5,5,5,5
Sop1130_ph2b,4,0.11,0.11,0.91,0.11
Sop1132_ph2b,4,1.4,1.4,4.4,1.4
Sop1133_ph2b,4,0,0,0.41,0
Sop1134_ph2b,4,0,0,0.78,0
Sop1137_ph2b,4,1.27,1.27,1.9,1.27
Sop929_ph2b,4,2,2,2,2
Sop926_ph2b,4,0.31,0.31,0.66,0.31
Sop1140_ph2b,4,0,0,2,0
Sop1129_ph2b,4,1,1,1,1
Sop1142_ph2b,4,0,0,2.55,0
Sop949_ph2b,4,0,0,2.29,0
Sop1143_ph2b,4,0.57,0.57,1.68,0.57
Sop1145_ph2b,4,1.1,1.1,1.1,1.1
Sop1146_ph2b,4,0.27,0.27,0.27,0.27
Sop1147_ph2b,4,0.4,0.4,0.6,0.4
Sop1148_ph2b,4,0,0,10,0
Sop934_ph2b,4,2,2,2,2
Sop1149_ph2b,4,0.5,0.5,0.5,0.5
Sop1150_ph2b,4,0.5,0.5,0.5,0.5
Sop1151_ph2b,4,0.66,0.66,0.66,0.66
Sop938_ph2b,4,10,10,10,10
Sop940_ph2b,4,1.5,1.5,1.5,1.5
Sop1171_ph2b,4,10,10,10,10
Sop943_ph2b,4,5,5,5,5
Sop1153_ph2b,4,1,1,1.5,1
Sop1154_ph2b,4,2.7,2.7,3.5,2.7
Sop1155_ph2b,4,14.5,14.5,18.85,14.5
Sop1156_ph2b,4,6.4,6.4,8.32,6.4
Sop1157_ph2b,4,1.3,1.3,1.7,1.3
Sop1158_ph2b,4,4.3,4.3,5.6,4.3
Sop1172_ph2b,4,0,0,28,0
Sop1159_ph2b,4,2,2,4,2
Sop1160_ph2b,4,0,0,5,0
Sop951_ph2b,4,5,5,5,5
Sop952_ph2b,4,5,5,5,5
Sop954_ph2b,4,0,0,5,0
Sop955_ph2b,4,5,5,5,5
Sop957_ph2b,4,0.14,0.14,0.14,0.14
Sop933_ph2b,4,4,4,4,4
Sop1162_ph2b,4,5,5,6.5,5
Sop1163_ph2b,4,2,2,2.6,2
Sop958_ph2b,4,0.6,0.6,1.4,0.6
Sop1180_ph2b,4,1,1,1.3,1
Sop3000_ph2b,4,2,2,4,2
Sop3001_ph2b,4,0,0,2,0
Sop1010_ph2b,4,2.4,2.4,0,2.4
Sop1011_ph2b,4,5.4,5.4,0,5.4
