,,,AAA,BBB,,
Ag1, 2000-01-01,2 2,10,1000,2000,3000
Ag1, 2000-02-01,2 2,11,1001,2001,3001
Ag1, 2000-03-01,2 2,12,1002,2002,3002
Ag1, 2000-04-01,2 2,13,1003,2003,3003
Ag1, 2000-05-01,2 2,14,1004,2004,3004
Ag1, 2000-06-01,2 2,15,1005,2005,3005
Ag1, 2000-07-01,2 2,16,1006,2006,3006
Ag1, 2000-08-01,2 2,17,1007,2007,3007
Ag1, 2000-09-01,2 2,18,1008,2008,3008
Ag1, 2000-10-01,2 2,19,1009,2009,3009
Ag1, 2000-11-01,2 2,20,1010,2010,3010
Ag1, 2000-12-01,2 2,21,1011,2011,3011
Ag1, 2001-01-01,2 2,22,1012,2012,3012
Ag1, 2001-02-01,2 2,23,1013,2013,3013
Ag1, 2001-03-01,2 2,24,1014,2014,3014
Ag1, 2001-04-01,2 2,25,1015,2015,3015
Ag1, 2001-05-01,2 2,26,1016,2016,3016
Ag1, 2001-06-01,2 2,27,1017,2017,3017
Ag1, 2001-07-01,2 2,28,1018,2018,3018
Ag1, 2001-08-01,2 2,29,1019,2019,3019
Ag1, 2001-09-01,2 2,30,1020,2020,3020
Ag1, 2001-10-01,2 2,31,1021,2021,3021
Ag1, 2001-11-01,2 2,32,1022,2022,3022
Ag1, 2001-12-01,2 2,33,1023,2023,3023
GW1, 2000-01-01,2 2,34,1024,2024,3024
GW1, 2000-02-01,2 2,35,1025,2025,3025
GW1, 2000-03-01,2 2,36,1026,2026,3026
GW1, 2000-04-01,2 2,37,1027,2027,3027
GW1, 2000-05-01,2 2,38,1028,2028,3028
GW1, 2000-06-01,2 2,39,1029,2029,3029
GW1, 2000-07-01,2 2,40,1030,2030,3030
GW1, 2000-08-01,2 2,41,1031,2031,3031
GW1, 2000-09-01,2 2,42,1032,2032,3032
GW1, 2000-10-01,2 2,43,1033,2033,3033
GW1, 2000-11-01,2 2,44,1034,2034,3034
GW1, 2000-12-01,2 2,45,1035,2035,3035
GW1, 2001-01-01,2 2,46,1036,2036,3036
GW1, 2001-02-01,2 2,47,1037,2037,3037
GW1, 2001-03-01,2 2,48,1038,2038,3038
GW1, 2001-04-01,2 2,49,1039,2039,3039
GW1, 2001-05-01,2 2,50,1040,2040,3040
GW1, 2001-06-01,2 2,51,1041,2041,3041
GW1, 2001-07-01,2 2,52,1042,2042,3042
GW1, 2001-08-01,2 2,53,1043,2043,3043
GW1, 2001-09-01,2 2,54,1044,2044,3044
GW1, 2001-10-01,2 2,55,1045,2045,3045
GW1, 2001-11-01,2 2,56,1046,2046,3046
GW1, 2001-12-01,2 2,57,1047,2047,3047
GW2, 2000-01-01,2 2,58,1048,2048,3048
GW2, 2000-02-01,2 2,59,1049,2049,3049
GW2, 2000-03-01,2 2,60,1050,2050,3050
GW2, 2000-04-01,2 2,61,1051,2051,3051
GW2, 2000-05-01,2 2,62,1052,2052,3052
GW2, 2000-06-01,2 2,63,1053,2053,3053
GW2, 2000-07-01,2 2,64,1054,2054,3054
GW2, 2000-08-01,2 2,65,1055,2055,3055
GW2, 2000-09-01,2 2,66,1056,2056,3056
GW2, 2000-10-01,2 2,67,1057,2057,3057
GW2, 2000-11-01,2 2,68,1058,2058,3058
GW2, 2000-12-01,2 2,69,1059,2059,3059
GW2, 2001-01-01,2 2,70,1060,2060,3060
GW2, 2001-02-01,2 2,71,1061,2061,3061
GW2, 2001-03-01,2 2,72,1062,2062,3062
GW2, 2001-04-01,2 2,73,1063,2063,3063
GW2, 2001-05-01,2 2,74,1064,2064,3064
GW2, 2001-06-01,2 2,75,1065,2065,3065
GW2, 2001-07-01,2 2,76,1066,2066,3066
GW2, 2001-08-01,2 2,77,1067,2067,3067
GW2, 2001-09-01,2 2,78,1068,2068,3068
GW2, 2001-10-01,2 2,79,1069,2069,3069
GW2, 2001-11-01,2 2,80,1070,2070,3070
GW2, 2001-12-01,2 2,81,1071,2071,3071
SR1, 2000-01-01,2 2,82,1072,2072,3072
SR1, 2000-02-01,2 2,83,1073,2073,3073
SR1, 2000-03-01,2 2,84,1074,2074,3074
SR1, 2000-04-01,2 2,85,1075,2075,3075
SR1, 2000-05-01,2 2,86,1076,2076,3076
SR1, 2000-06-01,2 2,87,1077,2077,3077
SR1, 2000-07-01,2 2,88,1078,2078,3078
SR1, 2000-08-01,2 2,89,1079,2079,3079
SR1, 2000-09-01,2 2,90,1080,2080,3080
SR1, 2000-10-01,2 2,91,1081,2081,3081
SR1, 2000-11-01,2 2,92,1082,2082,3082
SR1, 2000-12-01,2 2,93,1083,2083,3083
SR1, 2001-01-01,2 2,94,1084,2084,3084
SR1, 2001-02-01,2 2,95,1085,2085,3085
SR1, 2001-03-01,2 2,96,1086,2086,3086
SR1, 2001-04-01,2 2,97,1087,2087,3087
SR1, 2001-05-01,2 2,98,1088,2088,3088
SR1, 2001-06-01,2 2,99,1089,2089,3089
SR1, 2001-07-01,2 2,100,1090,2090,3090
SR1, 2001-08-01,2 2,101,1091,2091,3091
SR1, 2001-09-01,2 2,102,1092,2092,3092
SR1, 2001-10-01,2 2,103,1093,2093,3093
SR1, 2001-11-01,2 2,104,1094,2094,3094
SR1, 2001-12-01,2 2,105,1095,2095,3095
SR2, 2000-01-01,2 2,106,1096,2096,3096
SR2, 2000-02-01,2 2,107,1097,2097,3097
SR2, 2000-03-01,2 2,108,1098,2098,3098
SR2, 2000-04-01,2 2,109,1099,2099,3099
SR2, 2000-05-01,2 2,110,1100,2100,3100
SR2, 2000-06-01,2 2,111,1101,2101,3101
SR2, 2000-07-01,2 2,112,1102,2102,3102
SR2, 2000-08-01,2 2,113,1103,2103,3103
SR2, 2000-09-01,2 2,114,1104,2104,3104
SR2, 2000-10-01,2 2,115,1105,2105,3105
SR2, 2000-11-01,2 2,116,1106,2106,3106
SR2, 2000-12-01,2 2,117,1107,2107,3107
SR2, 2001-01-01,2 2,118,1108,2108,3108
SR2, 2001-02-01,2 2,119,1109,2109,3109
SR2, 2001-03-01,2 2,120,1110,2110,3110
SR2, 2001-04-01,2 2,121,1111,2111,3111
SR2, 2001-05-01,2 2,122,1112,2112,3112
SR2, 2001-06-01,2 2,123,1113,2113,3113
SR2, 2001-07-01,2 2,124,1114,2114,3114
SR2, 2001-08-01,2 2,125,1115,2115,3115
SR2, 2001-09-01,2 2,126,1116,2116,3116
SR2, 2001-10-01,2 2,127,1117,2117,3117
SR2, 2001-11-01,2 2,128,1118,2118,3118
SR2, 2001-12-01,2 2,129,1119,2119,3119
SR3, 2000-01-01,2 2,130,1120,2120,3120
SR3, 2000-02-01,2 2,131,1121,2121,3121
SR3, 2000-03-01,2 2,132,1122,2122,3122
SR3, 2000-04-01,2 2,133,1123,2123,3123
SR3, 2000-05-01,2 2,134,1124,2124,3124
SR3, 2000-06-01,2 2,135,1125,2125,3125
SR3, 2000-07-01,2 2,136,1126,2126,3126
SR3, 2000-08-01,2 2,137,1127,2127,3127
SR3, 2000-09-01,2 2,138,1128,2128,3128
SR3, 2000-10-01,2 2,139,1129,2129,3129
SR3, 2000-11-01,2 2,140,1130,2130,3130
SR3, 2000-12-01,2 2,141,1131,2131,3131
SR3, 2001-01-01,2 2,142,1132,2132,3132
SR3, 2001-02-01,2 2,143,1133,2133,3133
SR3, 2001-03-01,2 2,144,1134,2134,3134
SR3, 2001-04-01,2 2,145,1135,2135,3135
SR3, 2001-05-01,2 2,146,1136,2136,3136
SR3, 2001-06-01,2 2,147,1137,2137,3137
SR3, 2001-07-01,2 2,148,1138,2138,3138
SR3, 2001-08-01,2 2,149,1139,2139,3139
SR3, 2001-09-01,2 2,150,1140,2140,3140
SR3, 2001-10-01,2 2,151,1141,2141,3141
SR3, 2001-11-01,2 2,152,1142,2142,3142
SR3, 2001-12-01,2 2,153,1143,2143,3143
SR4, 2000-01-01,2 2,154,1144,2144,3144
SR4, 2000-02-01,2 2,155,1145,2145,3145
SR4, 2000-03-01,2 2,156,1146,2146,3146
SR4, 2000-04-01,2 2,157,1147,2147,3147
SR4, 2000-05-01,2 2,158,1148,2148,3148
SR4, 2000-06-01,2 2,159,1149,2149,3149
SR4, 2000-07-01,2 2,160,1150,2150,3150
SR4, 2000-08-01,2 2,161,1151,2151,3151
SR4, 2000-09-01,2 2,162,1152,2152,3152
SR4, 2000-10-01,2 2,163,1153,2153,3153
SR4, 2000-11-01,2 2,164,1154,2154,3154
SR4, 2000-12-01,2 2,165,1155,2155,3155
SR4, 2001-01-01,2 2,166,1156,2156,3156
SR4, 2001-02-01,2 2,167,1157,2157,3157
SR4, 2001-03-01,2 2,168,1158,2158,3158
SR4, 2001-04-01,2 2,169,1159,2159,3159
SR4, 2001-05-01,2 2,170,1160,2160,3160
SR4, 2001-06-01,2 2,171,1161,2161,3161
SR4, 2001-07-01,2 2,172,1162,2162,3162
SR4, 2001-08-01,2 2,173,1163,2163,3163
SR4, 2001-09-01,2 2,174,1164,2164,3164
SR4, 2001-10-01,2 2,175,1165,2165,3165
SR4, 2001-11-01,2 2,176,1166,2166,3166
SR4, 2001-12-01,2 2,177,1167,2167,3167
