name,from,to,type,description
l_1,n_1,n_11,connection,
l_2,n_1,n_15,connection,
l_3,n_1,n_16,connection,
l_4,n_1,n_41,connection,
l_5,n_1,n_43,connection,
l_6,n_1,n_48,connection,
l_7,n_2,n_18,connection,
l_8,n_2,n_20,connection,
l_9,n_2,n_27,connection,
l_10,n_2,n_28,connection,
l_11,n_2,n_29,connection,
l_12,n_2,n_37,connection,
l_13,n_2,n_42,connection,
l_14,n_2,n_55,connection,
l_15,n_3,n_11,connection,
l_16,n_3,n_43,connection,
l_17,n_3,n_45,connection,
l_18,n_4,n_9,connection,
l_19,n_4,n_15,connection,
l_20,n_5,n_52,connection,
l_21,n_6,n_10,connection,
l_22,n_6,n_14,connection,
l_23,n_7,n_10,connection,
l_24,n_7,n_14,connection,
l_25,n_7,n_18,connection,
l_26,n_7,n_55,connection,
l_27,n_7,n_57,connection,
l_28,n_7,n_58,connection,
l_29,n_8,n_20,connection,
l_30,n_8,n_28,connection,
l_31,n_8,n_31,connection,
l_32,n_8,n_41,connection,
l_33,n_8,n_55,connection,
l_34,n_9,n_21,connection,
l_35,n_9,n_29,connection,
l_36,n_9,n_38,connection,
l_37,n_9,n_46,connection,
l_38,n_9,n_60,connection,
l_39,n_10,n_14,connection,
l_40,n_10,n_18,connection,
l_41,n_10,n_33,connection,
l_42,n_10,n_42,connection,
l_43,n_10,n_58,connection,
l_44,n_11,n_43,connection,
l_45,n_11,n_48,connection,
l_46,n_11,n_30,connection,
l_47,n_12,n_52,connection,
l_48,n_13,n_34,connection,
l_49,n_14,n_18,connection,
l_50,n_14,n_33,connection,
l_51,n_15,n_17,connection,
l_52,n_15,n_25,connection,
l_53,n_15,n_34,connection,
l_54,n_15,n_35,connection,
l_55,n_15,n_38,connection,
l_56,n_15,n_39,connection,
l_57,n_16,n_19,connection,
l_58,n_16,n_25,connection,
l_59,n_17,n_21,connection,
l_60,n_17,n_34,connection,
l_61,n_17,n_38,connection,
l_62,n_17,n_39,connection,
l_63,n_18,n_23,connection,
l_64,n_18,n_26,connection,
l_65,n_18,n_28,connection,
l_66,n_18,n_32,connection,
l_67,n_14,n_42,connection,
l_68,n_14,n_55,connection,
l_69,n_14,n_58,connection,
l_70,n_15,n_41,connection,
l_71,n_15,n_44,connection,
l_72,n_15,n_51,connection,
l_73,n_15,n_53,connection,
l_74,n_16,n_41,connection,
l_75,n_16,n_46,connection,
l_76,n_16,n_56,connection,
l_77,n_16,n_60,connection,
l_78,n_17,n_51,connection,
l_79,n_18,n_58,connection,
l_80,n_19,n_22,connection,
l_81,n_19,n_25,connection,
l_82,n_19,n_21,connection,
l_83,n_19,n_30,connection,
l_84,n_19,n_52,connection,
l_85,n_19,n_46,connection,
l_86,n_20,n_31,connection,
l_87,n_20,n_55,connection,
l_88,n_21,n_29,connection,
l_89,n_21,n_37,connection,
l_90,n_21,n_39,connection,
l_91,n_21,n_45,connection,
l_92,n_21,n_48,connection,
l_93,n_21,n_51,connection,
l_94,n_22,n_30,connection,
l_95,n_22,n_34,connection,
l_96,n_22,n_38,connection,
l_97,n_22,n_46,connection,
l_98,n_22,n_52,connection,
l_99,n_24,n_37,connection,
l_100,n_24,n_46,connection,
l_101,n_24,n_52,connection,
l_102,n_25,n_52,connection,
l_103,n_25,n_46,connection,
l_104,n_25,n_30,connection,
l_105,n_26,n_27,connection,
l_106,n_26,n_28,connection,
l_107,n_27,n_28,connection,
l_108,n_29,n_31,connection,
l_109,n_29,n_48,connection,
l_110,n_30,n_36,connection,
l_111,n_30,n_44,connection,
l_112,n_30,n_46,connection,
l_113,n_30,n_52,connection,
l_114,n_30,n_53,connection,
l_115,n_31,n_43,connection,
l_116,n_31,n_48,connection,
l_117,n_33,n_61,connection,
l_118,n_34,n_35,connection,
l_119,n_34,n_38,connection,
l_120,n_34,n_39,connection,
l_121,n_34,n_41,connection,
l_122,n_34,n_44,connection,
l_123,n_34,n_51,connection,
l_124,n_35,n_38,connection,
l_125,n_35,n_45,connection,
l_126,n_35,n_50,connection,
l_127,n_37,n_38,connection,
l_128,n_37,n_40,connection,
l_129,n_37,n_41,connection,
l_130,n_37,n_60,connection,
l_131,n_38,n_41,connection,
l_132,n_38,n_44,connection,
l_133,n_38,n_46,connection,
l_134,n_38,n_62,connection,
l_135,n_39,n_44,connection,
l_136,n_39,n_45,connection,
l_137,n_39,n_53,connection,
l_138,n_39,n_59,connection,
l_139,n_40,n_58,connection,
l_140,n_41,n_53,connection,
l_141,n_42,n_55,connection,
l_142,n_42,n_58,connection,
l_143,n_43,n_48,connection,
l_144,n_43,n_51,connection,
l_145,n_44,n_47,connection,
l_146,n_44,n_54,connection,
l_147,n_46,n_51,connection,
l_148,n_46,n_52,connection,
l_149,n_46,n_60,connection,
l_150,n_47,n_50,connection,
l_151,n_49,n_58,connection,
l_152,n_51,n_52,connection,
l_153,n_52,n_56,connection,
l_154,n_54,n_62,connection,
l_155,n_55,n_58,connection,
l_156,n_3,n_62,connection,
l_157,n_4,n_60,connection,
l_158,n_6,n_57,connection,
l_159,n_6,n_58,connection,
