name,x,y,type,degree,description
n_1,573.2978047638,-484.6788329545,dolphin,6,
n_2,442.122736932,-392.8562854722,dolphin,8,
n_3,761.861964772,-592.8982639157,dolphin,4,
n_4,246.9998235322,-513.3733790427,dolphin,3,
n_5,115.0049115264,-571.5823153931,dolphin,1,
n_6,221.3824628401,-191.9335284905,dolphin,4,
n_7,477.6890174647,-252.7072476283,dolphin,6,
n_8,582.3160906772,-436.3080266915,dolphin,5,
n_9,310.9476691002,-412.532545647,dolphin,6,
n_10,349.9761294215,-227.1646700196,dolphin,7,
n_11,570.018428068,-582.2402896544,dolphin,5,
n_12,144.5193017886,-696.1986298333,dolphin,1,
n_13,697.914119204,-701.117694877,dolphin,1,
n_14,262.7790541368,-257.1111403194,dolphin,8,
n_15,357.6787870153,-637.169849309,dolphin,12,
n_16,290.4515647514,-469.1017936495,dolphin,7,
n_17,447.8616461496,-733.9114618349,dolphin,6,
n_18,485.5744781513,-292.0154520765,dolphin,9,
n_19,286.3523438817,-683.900967224,dolphin,7,
n_20,694.6347425082,-364.161739384,dolphin,4,
n_21,594.6137532865,-746.2091244441,dolphin,9,
n_22,366.6970729287,-842.1308927962,dolphin,6,
n_23,579.0367139814,-223.1485414648,dolphin,1,
n_24,113.3652231785,-403.5142597335,dolphin,3,
n_25,224.0441866616,-774.0838263584,dolphin,6,
n_26,751.2039905107,-273.9788802496,dolphin,3,
n_27,750.3841463367,-328.9084399042,dolphin,3,
n_28,607.7312600696,-305.9528030336,dolphin,5,
n_29,483.1149456294,-407.6134806033,dolphin,5,
n_30,365.0573845808,-716.694734182,dolphin,9,
n_31,743.8253929451,-387.1173762546,dolphin,5,
n_32,729.0681978141,-230.5271390303,dolphin,1,
n_33,438.9347617826,-161.9870581907,dolphin,3,
n_34,518.3682451092,-696.1986298333,dolphin,10,
n_35,602.8121950259,-661.7651745274,dolphin,5,
n_36,292.0912530993,-802.7783724466,dolphin,1,
n_37,328.837444504,-367.208457598,dolphin,7,
n_38,457.4311110854,-519.5831447116,dolphin,11,
n_39,564.2795188504,-615.0340566123,dolphin,8,
n_40,206.0076148347,-308.4123355555,dolphin,2,
n_41,449.5013344975,-436.3080266915,dolphin,8,
n_42,338.0025268405,-344.4854792092,dolphin,5,
n_43,761.0421205981,-528.9504183477,dolphin,6,
n_44,501.9713616302,-827.3736976651,dolphin,7,
n_45,697.914119204,-566.6632503494,dolphin,4,
n_46,326.5247084052,-557.6449644359,dolphin,11,
n_47,626.5876760705,-844.590425318,dolphin,2,
n_48,729.0681978141,-448.6056893007,dolphin,6,
n_49,181.4122896163,-269.8796593799,dolphin,1,
n_50,689.0758666396,-792.6244915625,dolphin,2,
n_51,343.7414360581,-493.6971188679,dolphin,7,
n_52,183.0519779642,-576.5013804367,dolphin,10,
n_53,510.9896475437,-564.2037178275,dolphin,4,
n_54,731.5277303359,-758.5067870534,dolphin,2,
n_55,429.8250743227,-344.4854792092,dolphin,7,
n_56,115.8247557004,-510.0940023469,dolphin,2,
n_57,261.8982755986,-152.2984942702,dolphin,2,
n_58,378.9947355379,-300.213893816,dolphin,9,
n_59,712.6713143351,-671.6033046148,dolphin,1,
n_60,115.0049115264,-323.9893748605,dolphin,5,
n_61,495.4126082387,-220.689008943,dolphin,1,
n_62,758.5825880762,-651.1072002661,dolphin,3,
