name,from,to,type,description
l_1,n1,n3,connection,
l_2,n1,n4,connection,
l_3,n1,n5,connection,
l_4,n1,n6,connection,
l_5,n1,n7,connection,
l_6,n1,n8,connection,
l_7,n1,n9,connection,
l_8,n1,n11,connection,
l_9,n1,n12,connection,
l_10,n1,n13,connection,
l_11,n1,n14,connection,
l_12,n1,n18,connection,
l_13,n1,n20,connection,
l_14,n1,n22,connection,
l_15,n1,n32,connection,
l_16,n2,n3,connection,
l_17,n2,n4,connection,
l_18,n2,n8,connection,
l_19,n2,n14,connection,
l_20,n2,n18,connection,
l_21,n2,n20,connection,
l_22,n2,n22,connection,
l_23,n2,n31,connection,
l_24,n3,n4,connection,
l_25,n3,n8,connection,
l_26,n3,n9,connection,
l_27,n3,n10,connection,
l_28,n3,n14,connection,
l_29,n3,n28,connection,
l_30,n3,n29,connection,
l_31,n3,n33,connection,
l_32,n4,n8,connection,
l_33,n4,n13,connection,
l_34,n4,n14,connection,
l_35,n5,n7,connection,
l_36,n5,n11,connection,
l_37,n6,n7,connection,
l_38,n6,n11,connection,
l_39,n6,n17,connection,
l_40,n7,n17,connection,
l_41,n9,n31,connection,
l_42,n9,n33,connection,
l_43,n9,n34,connection,
l_44,n10,n34,connection,
l_45,n14,n34,connection,
l_46,n15,n33,connection,
l_47,n15,n34,connection,
l_48,n16,n33,connection,
l_49,n16,n34,connection,
l_50,n19,n33,connection,
l_51,n19,n34,connection,
l_52,n20,n34,connection,
l_53,n21,n33,connection,
l_54,n21,n34,connection,
l_55,n23,n33,connection,
l_56,n23,n34,connection,
l_57,n24,n26,connection,
l_58,n24,n28,connection,
l_59,n24,n30,connection,
l_60,n24,n33,connection,
l_61,n24,n34,connection,
l_62,n25,n26,connection,
l_63,n25,n28,connection,
l_64,n25,n32,connection,
l_65,n26,n32,connection,
l_66,n27,n30,connection,
l_67,n27,n34,connection,
l_68,n28,n34,connection,
l_69,n29,n32,connection,
l_70,n29,n34,connection,
l_71,n30,n33,connection,
l_72,n30,n34,connection,
l_73,n31,n33,connection,
l_74,n31,n34,connection,
l_75,n32,n33,connection,
l_76,n32,n34,connection,
l_77,n33,n34,connection,
l_78,n1,n2,connection,
