name,x,y,type,degree,description
n1,624.9267255548,-572.4984646797,karate,16,
n2,624.1051616467,-817.3245092949,karate,9,
n3,495.9411919824,-628.7658464958,karate,10,
n4,794.9904545325,-601.2532014634,karate,6,
n5,583.0269662415,-330.5381478538,karate,3,
n6,710.3693719977,-445.1560589235,karate,4,
n7,633.963928544,-466.9177565991,karate,4,
n8,601.9229361279,-708.8780734251,karate,4,
n9,404.7475981828,-547.4310195934,karate,5,
n10,403.9260342747,-677.2381170739,karate,2,
n11,543.5918986525,-407.3641191507,karate,3,
n12,506.6215227877,-454.1932619127,karate,1,
n13,752.269131311,-491.1636377774,karate,2,
n14,498.4058837067,-487.8773821449,karate,5,
n15,169.7803204648,-237.300390173,karate,2,
n16,118.0217942542,-636.9814855768,karate,2,
n17,653.6814623385,-321.0999087997,karate,2,
n18,798.2767101649,-699.0193065279,karate,2,
n19,221.5388466754,-751.1788688034,karate,2,
n20,378.4575531234,-770.0748386898,karate,3,
n21,83.5161101138,-552.360403042,karate,2,
n22,750.6260034948,-787.7482086032,karate,2,
n23,311.0893126588,-235.6572623568,karate,2,
n24,357.0968915127,-261.1257435081,karate,5,
n25,615.8895225657,-265.2335630486,karate,3,
n26,463.0786356582,-247.1591570703,karate,3,
n27,92.553313103,-304.6686306376,karate,2,
n28,415.4279289881,-337.9322230267,karate,4,
n29,422.000440253,-453.7727340695,karate,3,
n30,80.2298544814,-472.6687039559,karate,4,
n31,295.4795984048,-703.5281621333,karate,4,
n32,473.7589664636,-359.2928846374,karate,6,
n33,191.9625459836,-426.2600890371,karate,12,
n34,334.9146659939,-465.2746287829,karate,17,
