Name,Y,X,Type,Platform / Entrance,Line,Step Free,Description
Acton Town,51.5025,-0.278126,Station,Platform,District and Piccadilly,,
Acton Central,51.50883531,-0.263033174,Station,Entrance,London Overground,,
Aldgate,51.51394,-0.07537,Station,Aldgate High Street entrance,Metropolitan,No,
Aldgate East,51.51514,-0.07178,Station,Entrance,District and Hammersmith and City,,
Alperton,51.54097,-0.30061,Station,Platform,Piccadilly,,
Amersham,51.67435,-0.60732,Station,Entrance,Metropolitan,No,
Angel,51.53253,-0.10579,Station,Entrance,Northern,No,
Archway,51.56536,-0.13474,Station,Junction Road entrance,Northern,,
Arnos Grove,51.61625,-0.13355,Station,Entrance,Piccadilly,,
Arsenal,51.55847,-0.10561,Station,outside Gillespie Road exit; the platforms are a long walk west in tunnel,Piccadilly,,
Baker Street,51.522236,-0.15708,Station,Bakerloo/Jubilee Entrance,Bakerloo and Jubilee,No,
Balham,51.44344113,-0.152945844,Station,Entrance,Northern,No,
Bank,51.5134047,-0.08905843,Station,Entrance,Central and Waterloo and City,,
Barbican,51.520865,-0.097758,Station,Entrance,Circle and Hammersmith and City and Metropolitan,No,
Barking,51.54079,0.08018,Station,platforms,District and Hammersmith and City,,
Barkingside,51.58543,0.08854,Station,platforms,Central,,
Barons Court,51.490281,-0.21434,Station,Platform,Piccadilly and District,,
Bayswater,51.51224,-0.187569,Station,Entrance,Circle and District,,
Becontree,51.54029,0.1262,Station,platforms,District,,
Belsize Park,51.55036,-0.16465,Station,Entrance,Northern,,
Bermondsey,51.49813,-0.0635,Station,Entrance,Jubilee,,
Bethnal Green,51.52718,-0.05504,Station,tube station entrance,Central,No,
Blackfriars,51.5114403,-0.1041905,Station,Entrance,Circle and District,,
Blackhorse Road,51.58698,-0.04104,Station,Entrance Hall,Victoria,,
Bond Street,51.51461,-0.14897,Station,Entrance,Central and Jubilee,No,
Borough,51.50095,-0.09446,Station,Entrance,Northern,,
Boston Manor,51.495371,-0.325573,Station,Platform,Piccadilly,,
Bounds Green,51.607,-0.12418,Station,Entrance,Piccadilly,,
Bow Road,51.52709,-0.02482,Station,Entrance,District and Hammersmith and City,,
Brent Cross,51.57693,-0.21414,Station,Platform,Northern,,
Brixton,51.46239,-0.115421,Station,Entrance,Victoria,,
Bromley-by-Bow,51.52466,-0.01282,Station,platforms,District and Hammersmith and City,,
Brondesbury,51.54505,-0.20297,Station,London Overground platforms,London Overground,,
Brondesbury Park,51.5406,-0.21093,Station,London Overground platforms,London Overground,,
Buckhurst Hill,51.62611,0.04705,Station,platforms,Central,,
Burnt Oak,51.603,-0.26427,Station,Platform,Northern,,
Caledonian Road,51.5485,-0.11802,Station,outside Caledonian Road exit,Piccadilly,,
Caledonian Road and Barnesbury,51.54326,-0.11544,Station,London Overground platforms,London Overground,,
Camden Road,51.54192,-0.13981,Station,London Overground platforms,London Overground,,
Camden Town,51.5393,-0.14316,Station,Entrance,Northern,No,
Canada Water,51.49787, -0.000011,Station,90 anticlockwise around dome from entrance,East London,,
Canary Wharf,51.50362,-0.01987,Station,LU Entrance,Jubilee,No,
Cannon Street,51.51141,-0.09047,Station,LU entrance,Circle and District,,
Canonbury,51.54822,-0.09632,Station,mainline platforms,London Overground,,
Canons Park,51.6081,-0.29487,Station,Platform,Jubilee,,
Chalfont and Latimer,51.66822,-0.56053,Station,Entrance (car park side; don't know if there's an entrance on the other side),Metropolitan,No,
Chalk Farm,51.5439,-0.15384,Station,Entrance,Northern,,
Chancery Lane,51.51836,-0.11115,Station,Entrance/exit 3,Central,,
Charing Cross,51.507108,-0.122963,Station,Mainline Platforms,Bakerloo and Northern,,
Chesham,51.70522733,-0.610986426,Station,Platform,Metropolitan,Yes,
Chigwell,51.61795,0.07511,Station,platforms,Central,,
Chiswick Park,51.49466,-0.26866,Station,Platform,District,,
Chorleywood,51.65429872,-0.518373353,Station,Platform,Metropolitan,No,
City Thameslink,51.51416,-0.10335,Station,Ludgate Hill exit,Thameslink,,
Clapham Common,51.46156,-0.13802,Station,Entrance,Northern,,
Clapham North,51.46522,-0.1295,Station,Entrance,Northern,,
Clapham South,51.45292257,-0.147562148,Station,Entrance,Northern,,
Cockfosters,51.65117,-0.14811,Station,platforms,Piccadilly,,
Colindale,51.59556,-0.24996,Station,Platform,Northern,,
Colliers Wood,51.41823649,-0.17800983,Station,Entrance,Northern,,
Covent Garden,51.51308,-0.12427,Station,Long Acre entrance,Piccadilly,No,
Croxley,51.64733268,-0.441479115,Station,Platform,Metropolitan,No,
Dagenham East,51.54396,0.16439,Station,platforms,District,,
Dagenham Heathway,51.54173,0.14543,Station,platforms,District,,
Dalston Kingsland,51.54832,-0.07879,Station,mainline platforms,London Overground,,
Debden,51.64535,0.08364,Station,platforms,Central,,
Dollis Hill,51.5525,-0.23884,Station,Entrance,Jubilee,,
Ealing Broadway,51.51482,-0.30118,Station,Platform,Central and District,,
Ealing Common,51.50997,-0.28825,Station,Platform,District and Piccadilly,,
Earl's Court,51.491521,-0.193906,Station,Platform,District and Piccadilly,,
East Acton,51.51753,-0.24827,Station,Platform,Central,,
East Finchley,51.5872974705,-0.1649563231,Station,southbound platform,Northern,,
East Ham,51.53931,0.0526,Station,platforms,District and Hammersmith and City,,
East Putney,51.459015,-0.211138,Station,Entrance,District,,
Eastcote,51.57676,-0.39629,Station,Platform,Metropolitan and Piccadilly,,
Edgware,51.61385,-0.27515,Station,Platform,Northern,No,
Edgware Road (Bakerloo Line),51.51956,-0.169068,Station,Entrance,Bakerloo,No,
Edgware Road (Circle Line),51.520195,-0.166986,Station,Platform,Circle and District and Hammersmith and City,No,
Elephant and Castle,51.49467,-0.10047,Station,Entrance,Bakerloo and Northern,,
Elm Park,51.54969,0.19779,Station,platforms,District,,
Embankment,51.50717,-0.12195,Station,outside Thames Embankment exit,Bakerloo and Circle and District and Northern,,
Epping,51.69365,0.11495,Station,platforms,Central,,
Euston,51.52774,-0.13303,Station, ??,Northern,No,
Euston Square,51.52584,-0.1357,Station, ??,Circle and Hammersmith and City and Metropolitan,No,
Fairlop,51.59634,0.09125,Station,platforms,Central,,
Farringdon,51.520086,-0.104789,Station,Entrance,Circle and Hammersmith and City and Metropolitan,No,
Finchley Central,51.60102,-0.1924,Station, ??,Northern,,
Finchley Road,51.546701,-0.179867,Station,Platform,Jubilee and Metropolitan,No,
Finchley Road and Frognal,51.54994,-0.18412,Station,London Overground platforms,London Overground,,
Finsbury Park,51.56498,-0.10543,Station,in bus station and near mainline entrance end,Piccadilly and Victoria,No,
Fulham Broadway,51.48033,-0.19488,Station,Platform,District,No,
Gants Hill,51.57649,0.06637,Station,Entrance Hall,Central,,
Gloucester Road,51.49408266,-0.17295341,Station,C/D platform,Circle and District and Piccadilly,,
Golders Green,51.57249,-0.1941,Station,Platform,Northern,,
Goldhawk Road,51.501248,-0.226776,Station,Platform,Hammersmith and City,,
Goodge Street,51.5206,-0.13441,Station, ??,Northern,No,
Gospel Oak,51.55597,-0.15228,Station,London Overground platforms,London Overground,,
Grange Hill,51.61326,0.09258,Station,platforms,Central,,
Great Portland Street,51.52391,-0.14397,Station, ??,Circle and Hammersmith and City and Metropolitan,No,
Greenford,51.542346,-0.345903,Station,Platform,Central,,
Gunnersbury,51.49126844,-0.275554312,Station,Platform,District,,
Green Park,51.50674,-0.14276,Station,Entrance (south side of Piccadilly),Jubilee and Piccadilly and Victoria,No,
Hackney Central,51.54689,-0.05784,Station,mainline platforms,London Overground,,
Hackney Wick,51.54348,-0.02474,Station,mainline platforms,London Overground,,
Hainault,51.60288,0.09332,Station,platforms,Central,,
Hammersmith (DistandPicc Line),51.492328,-0.222825,Station,Platform,District and Piccadilly,,
Hammersmith (HandC Line),51.494190748,-0.225964953,Station,H+C Platform,Hammersmith and City,,
Hampstead,51.55645,-0.17851,Station,Entrance,Northern,No,
Hampstead Heath,51.55533,-0.16656,Station,London Overground platforms,London Overground,,
Hanger Lane,51.53,-0.2929,Station,Entrance,Central,,
Harlesden,51.53628278,-0.257622488,Station,Platform,Bakerloo,,
Harrow and Wealdstone,51.59205973,-0.334725352,Station,Platform,Bakerloo,,
Harrow-on-the-Hill,51.579335,-0.337052,Station,Entrance Hall,Metropolitan,No,
Hatton Cross,51.466988,-0.423035,Station,Entrance,Piccadilly,,
Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Station,Central Bus Station Entrance,Piccadilly,,
Heathrow Terminal 4,51.4594777,-0.44689658,Station,Terminal Entrance,Piccadilly,,
Hendon Central,51.58346,-0.22653,Station,Platform,Northern,,
High Barnet,51.6506519032,-0.194138166,Station,Platform 2,Northern,,
High Street Kensington,51.5003459144,-0.192351664,Station,Entrance,Circle and District,No,
Highbury and Islington,51.54502,-0.10752,Station,mainline platforms,London Overground and Victoria and Northern City,,
Highgate,51.57722,-0.14553,Station, ??,Northern,No,
Hillingdon,51.55364,-0.45062,Station,Platform,Metropolitan and Piccadilly,,
Holborn,51.51711,-0.12055,Station,Entrance,Central and Piccadilly,No,
Holland Park,51.50722,-0.20553,Station,Entrance,Central,,
Holloway Road,51.5529,-0.11278,Station,Entrance,Piccadilly,,
Homerton,51.5471,-0.04323,Station,mainline platforms,,,
Hornchurch,51.55387,0.21797,Station,platforms,District,,
Hounslow Central,51.47129,-0.365853,Station,Platform,Piccadilly,,
Hounslow East,51.47354,-0.356,Station,Platform,Piccadilly,,
Hounslow West,51.473689,-0.386471,Station,Platform (North End),Piccadilly,No,
Hyde Park Corner,51.50313,-0.15278,Station,at main entrance (on northern side of roundabout),Piccadilly,,
