Name       ,Type,Capacity constant,Phase condition,Phase lag
Units      ,,Ml day^-1,,
23000,Mutually exclusive,,,
23001,Mutually exclusive,,,
23002,Mutually exclusive,,,
23003,Mutually exclusive,,,
23005,Mutually exclusive,,,
23007,Mutually exclusive,,,
23008,Mutually exclusive,,,
23009,Mutually exclusive,,,
23036,Mutually exclusive,,,
23037,Mutually exclusive,,,
23038,Mutually exclusive,,,
23041,Mutually exclusive,,,
23042,Mutually exclusive,,,
23043,Mutually exclusive,,,
23044,Mutually exclusive,,,
23045,Mutually exclusive,,,
23046,Mutually exclusive,,,
23047,Mutually exclusive,,,
23048,Mutually exclusive,,,
23049,Mutually exclusive,,,
23050,Mutually exclusive,,,
23051,Mutually exclusive,,,
23078,Mutually exclusive,,,
23079,Mutually exclusive,,,
23080,Mutually exclusive,,,
23081,Mutually exclusive,,,
23085,Mutually exclusive,,,
23087,Mutually exclusive,,,
23088,Mutually exclusive,,,
23090,Mutually exclusive,,,
23093,Mutually exclusive,,,
23094,Mutually exclusive,,,
23095,Mutually exclusive,,,
23096,Mutually exclusive,,,
23097,Mutually exclusive,,,
23099,Mutually exclusive,,,
23100,Mutually exclusive,,,
23101,Mutually exclusive,,,
23106,Mutually exclusive,,,
23107,Mutually exclusive,,,
23108,Mutually exclusive,,,
23109,Mutually exclusive,,,
23110,Mutually exclusive,,,
23112,Mutually exclusive,,,
23113,Mutually exclusive,,,
23114,Mutually exclusive,,,
23115,Mutually exclusive,,,
23116,Mutually exclusive,,,
23117,Mutually exclusive,,,
23153,Mutually exclusive,,,
23154,Mutually exclusive,,,
23155,Mutually exclusive,,,
23156,Mutually exclusive,,,
23157,Mutually exclusive,,,
23162,Mutually exclusive,,,
23163,Mutually exclusive,,,
23164,Mutually exclusive,,,
23169,Mutually exclusive,,,
23170,Mutually exclusive,,,
23172,Mutually exclusive,,,
23176,Mutually exclusive,,,
23177,Mutually exclusive,,,
23178,Mutually exclusive,,,
23179,Mutually exclusive,,,
23185,Mutually exclusive,,,
23186,Mutually exclusive,,,
23187,Mutually exclusive,,,
23189,Mutually exclusive,,,
30001,Mutually exclusive,,,
30002,Mutually exclusive,,,
30003,Mutually exclusive,,,
30004,Mutually exclusive,,,
30005,Mutually exclusive,,,
30006,Mutually exclusive,,,
30007,Mutually exclusive,,,
30008,Mutually exclusive,,,
30009,Mutually exclusive,,,
30010,Mutually exclusive,,,
30011,Mutually exclusive,,,
30012,Mutually exclusive,,,
30013,Mutually exclusive,,,
30014,Mutually exclusive,,,
30015,Mutually exclusive,,,
30016,Mutually exclusive,,,
30017,Mutually exclusive,,,
30018,Mutually exclusive,,,
30019,Mutually exclusive,,,
30020,Mutually exclusive,,,
30021,Mutually exclusive,,,
30022,Mutually exclusive,,,
30023,Mutually exclusive,,,
30024,Mutually exclusive,,,
30025,Mutually exclusive,,,
30026,Mutually exclusive,,,
30027,Mutually exclusive,,,
30028,Mutually exclusive,,,
30029,Mutually exclusive,,,
30030,Mutually exclusive,,,
30031,Mutually exclusive,,,
30032,Mutually exclusive,,,
30033,Mutually exclusive,,,
30034,Mutually exclusive,,,
30035,Mutually exclusive,,,
30036,Mutually exclusive,,,
30037,Mutually exclusive,,,
30038,Mutually exclusive,,,
30039,Mutually exclusive,,,
30040,Mutually exclusive,,,
30041,Mutually exclusive,,,
30043,Mutually exclusive,,,
24302,Mutually dependent,,,
24318,Mutually dependent,,,
24319,Mutually dependent,,,
24333,Mutually dependent,,,
24334,Mutually dependent,,,
24336,Mutually dependent,,,
24337,Mutually dependent,,,
24338,Mutually dependent,,,
24347,Mutually dependent,,,
24349,Mutually dependent,,,
24360,Mutually dependent,,,
24361,Mutually dependent,,,
24362,Mutually dependent,,,
24364,Mutually dependent,,,
24365,Mutually dependent,,,
24366,Mutually dependent,,,
24367,Mutually dependent,,,
24374,Mutually dependent,,,
24375,Mutually dependent,,,
24377,Mutually dependent,,,
24395,Mutually dependent,,,
24397,Mutually dependent,,,
24398,Mutually dependent,,,
24399,Mutually dependent,,,
25002,Mutually dependent,,,
25003,Mutually dependent,,,
25004,Mutually dependent,,,
25005,Mutually dependent,,,
25006,Mutually dependent,,,
25007,Mutually dependent,,,
25008,Mutually dependent,,,
25009,Mutually dependent,,,
25010,Mutually dependent,,,
25011,Mutually dependent,,,
25012,Mutually dependent,,,
25013,Mutually dependent,,,
25014,Mutually dependent,,,
25015,Mutually dependent,,,
25016,Mutually dependent,,,
25017,Mutually dependent,,,
25018,Mutually dependent,,,
25019,Mutually dependent,,,
25020,Mutually dependent,,,
25021,Mutually dependent,,,
25022,Mutually dependent,,,
25023,Mutually dependent,,,
25024,Mutually dependent,,,
25025,Mutually dependent,,,
25030,Mutually dependent,,,
25031,Mutually dependent,,,
25032,Mutually dependent,,,
25033,Mutually dependent,,,
25034,Mutually dependent,,,
14004,Capacity,arr/Array_Capacity_Group_DO.csv,,
14004.right,Capacity right,,,
14004.left,Capacity left,,,
14005,Capacity,arr/Array_Capacity_Group_DO.csv,,
14005.left,Capacity left,,,
14006,Capacity,arr/Array_Capacity_Group_DO.csv,,
14006.left,Capacity left,,,
14006.right,Capacity right,,,
14007,Capacity,arr/Array_Capacity_Group_DO.csv,,
14007.left,Capacity left,,,
14007.right,Capacity right,,,
14008,Capacity,arr/Array_Capacity_Group_DO.csv,,
14008.left,Capacity left,,,
14009,Capacity,arr/Array_Capacity_Group_DO.csv,,
14009.left,Capacity left,,,
14009.right,Capacity right,,,
14010,Capacity,arr/Array_Capacity_Group_DO.csv,,
14010.left,Capacity left,,,
14011,Capacity,arr/Array_Capacity_Group_DO.csv,,
14011.left,Capacity left,,,
25500,Phasing,,AND,
25504,Phasing,,AND,
25513,Phasing,,AND,
25531,Phasing,,AND,
25532,Phasing,,AND,
25533,Phasing,,AND,
25534,Phasing,,AND,
25535,Phasing,,AND,
25536,Phasing,,AND,
25537,Phasing,,AND,
25538,Phasing,,AND,
25539,Phasing,,AND,
25540,Phasing,,AND,
25589,Phasing,,AND,
25590,Phasing,,AND,
25591,Phasing,,AND,
25592,Phasing,,AND,
25617,Phasing,,AND,
25618,Phasing,,AND,
25619,Phasing,,AND,
25620,Phasing,,AND,
25668,Phasing,,AND,
25669,Phasing,,AND,
25670,Phasing,,AND,
25752,Phasing,,AND,
25753,Phasing,,AND,
25754,Phasing,,AND,
25755,Phasing,,AND,
25766,Phasing,,AND,
25770,Phasing,,AND,
25771,Phasing,,AND,
25774,Phasing,,AND,
25776,Phasing,,AND,
25777,Phasing,,AND,
25778,Phasing,,AND,
25806,Phasing,,AND,
25823,Phasing,,AND,
25826,Phasing,,AND,
25827,Phasing,,AND,
25828,Phasing,,AND,
25829,Phasing,,AND,
25830,Phasing,,AND,
25831,Phasing,,AND,
25832,Phasing,,AND,
25833,Phasing,,AND,
25834,Phasing,,AND,
25835,Phasing,,AND,
25836,Phasing,,AND,
25837,Phasing,,AND,
25838,Phasing,,AND,
25839,Phasing,,AND,
25840,Phasing,,AND,
25841,Phasing,,AND,
25842,Phasing,,AND,
25843,Phasing,,AND,
25844,Phasing,,AND,
25845,Phasing,,AND,
25846,Phasing,,AND,
25847,Phasing,,AND,
25848,Phasing,,AND,
25849,Phasing,,AND,
25851,Phasing,,AND,
25854,Phasing,,OR,
25855,Phasing,,AND,
25856,Phasing,,AND,
25857,Phasing,,AND,
25858,Phasing,,AND,
25859,Phasing,,AND,
25861,Phasing,,AND,
25862,Phasing,,AND,
25864,Phasing,,AND,
25865,Phasing,,AND,
25877,Phasing,,OR,
25878,Phasing,,OR,
25885,Phasing,,OR,
25886,Phasing,,OR,
25887,Phasing,,OR,
25888,Phasing,,OR,
25889,Phasing,,OR,
25890,Phasing,,OR,
25891,Phasing,,OR,
25892,Phasing,,OR,
25893,Phasing,,OR,
25894,Phasing,,OR,
25895,Phasing,,OR,
25896,Phasing,,OR,
25897,Phasing,,OR,
25898,Phasing,,OR,
25899,Phasing,,OR,
25900,Phasing,,OR,
25901,Phasing,,OR,
25902,Phasing,,OR,
25903,Phasing,,OR,
25908,Phasing,,AND,
25500.phase1,Phasing phase 1,,,
25500.phase2,Phasing phase 2,,,
25504.phase1,Phasing phase 1,,,
25504.phase2,Phasing phase 2,,,3
25513.phase1,Phasing phase 1,,,
25513.phase2,Phasing phase 2,,,
25531.phase1,Phasing phase 1,,,
25531.phase2,Phasing phase 2,,,
25532.phase1,Phasing phase 1,,,
25532.phase2,Phasing phase 2,,,
25533.phase1,Phasing phase 1,,,
25533.phase2,Phasing phase 2,,,
25534.phase1,Phasing phase 1,,,
25534.phase2,Phasing phase 2,,,
25535.phase1,Phasing phase 1,,,
25535.phase2,Phasing phase 2,,,
25536.phase1,Phasing phase 1,,,
25536.phase2,Phasing phase 2,,,
25537.phase1,Phasing phase 1,,,
25537.phase2,Phasing phase 2,,,
25538.phase1,Phasing phase 1,,,
25538.phase2,Phasing phase 2,,,
25539.phase1,Phasing phase 1,,,
25539.phase2,Phasing phase 2,,,
25540.phase1,Phasing phase 1,,,
25540.phase2,Phasing phase 2,,,
25589.phase1,Phasing phase 1,,,
25589.phase2,Phasing phase 2,,,
25590.phase1,Phasing phase 1,,,
25590.phase2,Phasing phase 2,,,
25591.phase1,Phasing phase 1,,,
25591.phase2,Phasing phase 2,,,
25592.phase1,Phasing phase 1,,,
25592.phase2,Phasing phase 2,,,
25617.phase1,Phasing phase 1,,,
25617.phase2,Phasing phase 2,,,
25618.phase1,Phasing phase 1,,,
25618.phase2,Phasing phase 2,,,
25619.phase1,Phasing phase 1,,,
25619.phase2,Phasing phase 2,,,
25620.phase1,Phasing phase 1,,,
25620.phase2,Phasing phase 2,,,
25668.phase1,Phasing phase 1,,,
25668.phase2,Phasing phase 2,,,
25669.phase1,Phasing phase 1,,,
25669.phase2,Phasing phase 2,,,
25670.phase1,Phasing phase 1,,,
25670.phase2,Phasing phase 2,,,
25752.phase1,Phasing phase 1,,,
25752.phase2,Phasing phase 2,,,
25753.phase1,Phasing phase 1,,,
25753.phase2,Phasing phase 2,,,
25754.phase1,Phasing phase 1,,,
25754.phase2,Phasing phase 2,,,
25755.phase1,Phasing phase 1,,,
25755.phase2,Phasing phase 2,,,
25766.phase1,Phasing phase 1,,,
25766.phase2,Phasing phase 2,,,
25770.phase1,Phasing phase 1,,,
25770.phase2,Phasing phase 2,,,
25771.phase1,Phasing phase 1,,,
25771.phase2,Phasing phase 2,,,
25774.phase1,Phasing phase 1,,,
25774.phase2,Phasing phase 2,,,
25776.phase1,Phasing phase 1,,,
25776.phase2,Phasing phase 2,,,
25777.phase1,Phasing phase 1,,,
25777.phase2,Phasing phase 2,,,
25778.phase1,Phasing phase 1,,,
25778.phase2,Phasing phase 2,,,
25806.phase1,Phasing phase 1,,,
25806.phase2,Phasing phase 2,,,
25823.phase1,Phasing phase 1,,,
25823.phase2,Phasing phase 2,,,
25826.phase1,Phasing phase 1,,,
25826.phase2,Phasing phase 2,,,
25827.phase1,Phasing phase 1,,,
25827.phase2,Phasing phase 2,,,
25828.phase1,Phasing phase 1,,,
25828.phase2,Phasing phase 2,,,
25829.phase1,Phasing phase 1,,,
25829.phase2,Phasing phase 2,,,
25830.phase1,Phasing phase 1,,,
25830.phase2,Phasing phase 2,,,
25831.phase1,Phasing phase 1,,,
25831.phase2,Phasing phase 2,,,
25832.phase1,Phasing phase 1,,,
25832.phase2,Phasing phase 2,,,
25833.phase1,Phasing phase 1,,,
25833.phase2,Phasing phase 2,,,
25834.phase1,Phasing phase 1,,,
25834.phase2,Phasing phase 2,,,
25835.phase1,Phasing phase 1,,,
25835.phase2,Phasing phase 2,,,
25836.phase1,Phasing phase 1,,,
25836.phase2,Phasing phase 2,,,
25837.phase1,Phasing phase 1,,,
25837.phase2,Phasing phase 2,,,
25838.phase1,Phasing phase 1,,,
25838.phase2,Phasing phase 2,,,
25839.phase1,Phasing phase 1,,,
25839.phase2,Phasing phase 2,,,
25840.phase1,Phasing phase 1,,,
25840.phase2,Phasing phase 2,,,
25841.phase1,Phasing phase 1,,,
