Name       ,Capacity constant,Phase condition,Phase lag
23000,,,
23001,,,
23002,,,
23003,,,
23005,,,
23007,,,
23008,,,
23009,,,
23036,,,
23037,,,
23038,,,
23041,,,
23042,,,
23043,,,
23044,,,
23045,,,
23046,,,
23047,,,
23048,,,
23049,,,
23050,,,
23051,,,
23078,,,
23079,,,
23080,,,
23081,,,
23085,,,
23087,,,
23088,,,
23090,,,
23093,,,
23094,,,
23095,,,
23096,,,
23097,,,
23099,,,
23100,,,
23101,,,
23106,,,
23107,,,
23108,,,
23109,,,
23110,,,
23112,,,
23113,,,
23114,,,
23115,,,
23116,,,
23117,,,
23153,,,
23154,,,
23155,,,
23156,,,
23157,,,
23162,,,
23163,,,
23164,,,
23169,,,
23170,,,
23172,,,
23176,,,
23177,,,
23178,,,
23179,,,
23185,,,
23186,,,
23187,,,
23189,,,
30001,,,
30002,,,
30003,,,
30004,,,
30005,,,
30006,,,
30007,,,
30008,,,
30009,,,
30010,,,
30011,,,
30012,,,
30013,,,
30014,,,
30015,,,
30016,,,
30017,,,
30018,,,
30019,,,
30020,,,
30021,,,
30022,,,
30023,,,
30024,,,
30025,,,
30026,,,
30027,,,
30028,,,
30029,,,
30030,,,
30031,,,
30032,,,
30033,,,
30034,,,
30035,,,
30036,,,
30037,,,
30038,,,
30039,,,
30040,,,
30041,,,
30042,,,
30043,,,
24302,,,
24318,,,
24319,,,
24333,,,
24334,,,
24336,,,
24337,,,
24338,,,
24347,,,
24349,,,
24360,,,
24361,,,
24362,,,
24364,,,
24365,,,
24366,,,
24367,,,
24374,,,
24375,,,
24377,,,
24395,,,
24397,,,
24398,,,
24399,,,
25002,,,
25003,,,
25004,,,
25005,,,
25006,,,
25007,,,
25008,,,
25009,,,
25010,,,
25011,,,
25012,,,
25013,,,
25014,,,
25015,,,
25016,,,
25017,,,
25018,,,
25019,,,
25020,,,
25021,,,
25022,,,
25023,,,
25024,,,
25025,,,
25030,,,
25031,,,
25032,,,
25033,,,
25034,,,
25035,,,
14004,(Source; Water companies) (Phase; Phase 2b modelling),,
14004.right,,,
14004.left,,,
14005,(Source; Water companies) (Phase; Phase 2b modelling),,
14005.left,,,
14006,(Source; Water companies) (Phase; Phase 2b modelling),,
14006.left,,,
14006.right,,,
14007,(Source; Water companies) (Phase; Phase 2b modelling),,
14007.lefft,,,
14007.right,,,
14008,(Source; Water companies) (Phase; Phase 2b modelling),,
14008.left,,,
14009,(Source; Water companies) (Phase; Phase 2b modelling),,
14009.left,,,
14009.right,,,
14010,(Source; Water companies) (Phase; Phase 2b modelling),,
14010.left,,,
14011,(Source; Water companies) (Phase; Phase 2b modelling),,
14011.left,,,
25500,,,
25504,,,
25513,,,
25531,,,
25532,,,
25533,,,
25534,,,
25535,,,
25536,,,
25537,,,
25538,,,
25539,,,
25540,,,
25589,,,
25590,,,
25591,,,
25592,,,
25617,,,
25618,,,
25619,,,
25620,,,
25668,,,
25669,,,
25670,,,
25752,,,
25753,,,
25754,,,
25755,,,
25766,,,
25770,,,
25771,,,
25774,,,
25776,,,
25777,,,
25778,,,
25806,,,
25823,,,
25826,,,
25827,,,
25828,,,
25829,,,
25830,,,
25831,,,
25832,,,
25833,,,
25834,,,
25835,,,
25836,,,
25837,,,
25838,,,
25839,,,
25840,,,
25841,,,
25842,,,
25843,,,
25844,,,
25845,,,
25846,,,
25847,,,
25848,,,
25849,,,
25851,,,
25852,,,
25854,,,
25855,,,
25856,,,
25857,,,
25858,,,
25859,,,
25861,,,
25862,,,
25863,,,
25864,,,
25865,,,
25877,,,
25878,,,
25885,,,
25886,,,
25887,,,
25888,,,
25889,,,
25890,,,
25891,,,
25892,,,
25893,,,
25894,,,
25895,,,
25896,,,
25897,,,
25898,,,
25899,,,
25900,,,
25901,,,
25902,,,
25903,,,
25907,,,
25908,,,
25500.phase1,,,
25500.phase2,,,
25504.phase1,,,
