Name ,from,to,WRSE Ref,Type,Zone generic,Co. From,Co. to,Zone from,Zone to,Company,WRZ,Earliest Start Year,Year Activated,End year,Asset life,DO,Demand flow,Demand + THR flow,Financial cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,Transfer type,Ratchet,Full capacity,Bi-directional,Description
Units,,,,,,,,,,,,,,,,Ml day^-1,Ml day^-1,Ml day^-1,1e3 $ yr^-1,1e3 $ yr^-1,0.01 $ m^3,0.01 $ m^3,1e3 $ yr^-1,1e3 $ yr^-1,0.01 $ m^3,0.01 $ m^3,t,1e3 $ yr^-1,t yr^-1,1e3 $ yr^-1,kg m^3,1e3 $ yr^-1,,,,,
Lft1009_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-869,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Inter-company transfer,1,,,VWC-CTR-VW5-869 : Preston to Wicker Hall
Lft1021_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-753,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Inter-company transfer,1,,,VWC-CTR-VW5-753 : Uttlesford Bridge - Sibleys Mains upgrade
Lft1027_ph2b,ExDO54,ExDO53,VWC-CTR-VW3-076,Intra-company transfer,WRZ33,AFF,AFF,WRZ34,WRZ33,VW,VW3,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Intra-company transfer,0,,,"VWC-CTR-VW3-076 : Arkley Bulls Green Transfer Upgrade - See scheme no. 28 ""Iver Arkley Transfer Upgrade (Ickenham Booster Upgrade)"""
Lft1028_ph2b,ExDO54,ExDO53,VWC-CTR-VW3-031,Intra-company transfer,WRZ33,AFF,AFF,WRZ34,WRZ33,VW,VW3,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Intra-company transfer,0,,,VWC-CTR-VW3-031 : Arkley Bulls Green Transfer/ Maximising Arkley North
Lft1030_ph2b,ExDO52,ExDO51,VWC-CTR-VW1-708,Intra-company transfer,WRZ31,AFF,AFF,WRZ32,WRZ31,VW,VW1,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Inter-company transfer,1,,,VWC-CTR-VW1-708 : Clay Lane to Batchworth
Lft1050_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-712,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Inter-company transfer,1,,,VWC-CTR-VW5-712 : Standon North Mains (VW3-5 bidirectional flow)
Lft184_ph2b,ExDO56,ExDO54,VWC-CTR-VW4-716,Intra-company transfer,WRZ34,AFF,AFF,WRZ36,WRZ34,VW,VW4,2018,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Intra-company transfer,0,,,VWC-CTR-VW4-716 : North Surrey North
Lft185_ph2b,ExDO51,ExDO52,VWC-CTR-VW2-701,Intra-company transfer,WRZ32,AFF,AFF,WRZ31,WRZ32,VW,VW2,2017,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Intra-company transfer,0,,,VWC-CTR-VW2-701 : Hunton Bridge to Friars Wash Boosters
Lft186_ph2b,ExDO51,ExDO52,VWC-CTR-VW2-702,Intra-company transfer,WRZ32,AFF,AFF,WRZ31,WRZ32,VW,VW2,2017,NULL,,60,arr/Array_Link_DO.csv,NULL,NULL,arr/Array_Link_Financial_Cost.csv,NULL,1,NULL,arr/Array_Link_EnvSoc_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,Intra-company transfer,0,,,VWC-CTR-VW2-702 : Hunton Bridge to Friars Wash
