timeseriesdescription,,,A,B,C,D
ExDO01a,01/04/2011 12:11,4,5.43395879,7.499947823,5.168682596,5.43395879
ExDO01a,01/04/2012 00:00,4,5.370010051,7.411685799,5.107855721,5.370010051
ExDO01a,01/04/2013 00:00,4,5.33427608,7.362365786,5.073866219,5.33427608
ExDO01a,01/04/2014 00:00,4,5.301805864,7.317550406,5.042981141,5.301805864
ExDO01a,01/04/2015 00:00,4,5.273195959,7.278063027,5.015767921,5.273195959
ExDO01a,01/04/2016 00:00,4,5.266488252,7.268805052,5.009387672,5.266488252
ExDO01a,01/04/2017 00:00,4,5.257625689,7.256572945,5.000957763,5.257625689
ExDO01a,01/04/2018 00:00,4,5.256236137,7.254655086,4.999636047,5.256236137
ExDO01a,01/04/2019 00:00,4,5.257641612,7.256594923,5.000972909,5.257641612
ExDO01a,01/04/2020 00:00,4,5.260738657,7.260869462,5.003918761,5.260738657
ExDO01a,01/04/2021 00:00,4,5.261970216,7.262569259,5.005090198,5.261970216
ExDO01a,01/04/2022 00:00,4,5.26818747,7.271150311,5.011003937,5.26818747
ExDO01a,01/04/2023 00:00,4,5.273667466,7.2787138,5.01621641,5.273667466
ExDO01a,01/04/2024 00:00,4,5.274109665,7.279324123,5.016637021,5.274109665
ExDO01a,01/04/2025 00:00,4,5.282530388,7.290946401,5.024646659,5.282530388
ExDO01a,01/04/2026 00:00,4,5.287261797,7.29747669,5.029147089,5.287261797
ExDO01a,01/04/2027 00:00,4,5.288702744,7.299465484,5.030517691,5.288702744
ExDO01a,01/04/2028 00:00,4,5.299268151,7.314047856,5.040567315,5.299268151
ExDO01a,01/04/2029 00:00,4,5.301680804,7.317377799,5.042862186,5.301680804
ExDO01a,01/04/2030 00:00,4,5.309163674,7.327705652,5.049979756,5.309163674
ExDO01a,01/04/2031 00:00,4,5.314866753,7.33557704,5.05540442,5.314866753
ExDO01a,01/04/2032 00:00,4,5.320011639,7.34267801,5.060298143,5.320011639
ExDO01a,01/04/2033 00:00,4,5.325931339,7.350848377,5.065928853,5.325931339
ExDO01a,01/04/2034 00:00,4,5.332508824,7.35992662,5.072185237,5.332508824
ExDO01a,01/04/2035 00:00,4,5.339494509,7.369568259,5.078829893,5.339494509
ExDO01a,01/04/2036 00:00,4,5.347721796,7.380923557,5.086655539,5.347721796
ExDO01a,01/04/2037 00:00,4,5.35606814,7.392443178,5.094594429,5.35606814
ExDO01a,01/04/2038 00:00,4,5.363482367,7.402676292,5.101646707,5.363482367
ExDO01a,01/04/2039 00:00,4,5.372024398,7.414466,5.109771731,5.372024398
ExDO01b,01/04/2011 12:11,4,16.67430379,21.48373991,17.64185169,16.67430379
ExDO01b,01/04/2012 00:00,4,16.43653958,21.17739642,17.3902909,16.43653958
ExDO01b,01/04/2013 00:00,4,16.15390625,20.81324203,17.09125741,16.15390625
ExDO01b,01/04/2014 00:00,4,15.9153933,20.50593384,16.83890445,15.9153933
ExDO01b,01/04/2015 00:00,4,15.70232512,20.23140955,16.61347271,15.70232512
ExDO01b,01/04/2016 00:00,4,15.67149042,20.19168106,16.58084878,15.67149042
ExDO01b,01/04/2017 00:00,4,15.66552632,20.18399672,16.57453861,15.66552632
ExDO01b,01/04/2018 00:00,4,15.6837886,20.20752646,16.59386058,15.6837886
ExDO01b,01/04/2019 00:00,4,15.71428013,20.24681279,16.62612142,15.71428013
ExDO01b,01/04/2020 00:00,4,15.74765691,20.28981656,16.66143493,15.74765691
ExDO01b,01/04/2021 00:00,4,15.76900386,20.3173207,16.68402057,15.76900386
ExDO01b,01/04/2022 00:00,4,15.79469067,20.35041646,16.71119789,15.79469067
ExDO01b,01/04/2023 00:00,4,15.82522155,20.38975348,16.74350036,15.82522155
ExDO01b,01/04/2024 00:00,4,15.84491646,20.41512907,16.76433809,15.84491646
ExDO01b,01/04/2025 00:00,4,15.87658556,20.45593262,16.79784484,15.87658556
ExDO01b,01/04/2026 00:00,4,15.90147766,20.48800445,16.82418133,15.90147766
ExDO01b,01/04/2027 00:00,4,15.93691438,20.53366232,16.86167431,15.93691438
ExDO01b,01/04/2028 00:00,4,15.96699968,20.57242525,16.89350535,15.96699968
ExDO01b,01/04/2029 00:00,4,15.99612411,20.60995015,16.92431976,15.99612411
ExDO01b,01/04/2030 00:00,4,16.03656688,20.662058,16.96710928,16.03656688
ExDO01b,01/04/2031 00:00,4,16.07144696,20.70699867,17.00401332,16.07144696
ExDO01b,01/04/2032 00:00,4,16.09930768,20.74289537,17.03349069,16.09930768
ExDO01b,01/04/2033 00:00,4,16.1354288,20.78943505,17.07170778,16.1354288
ExDO01b,01/04/2034 00:00,4,16.17166718,20.83612581,17.11004894,16.17166718
ExDO01b,01/04/2035 00:00,4,16.20760892,20.88243438,17.14807625,16.20760892
ExDO01b,01/04/2036 00:00,4,16.24243285,20.92730271,17.18492088,16.24243285
ExDO01b,01/04/2037 00:00,4,16.27960489,20.97519643,17.22424988,16.27960489
ExDO01b,01/04/2038 00:00,4,16.31768921,21.02426556,17.26454409,16.31768921
ExDO01b,01/04/2039 00:00,4,16.35772194,21.07584508,17.30689977,16.35772194
ExDO01c,01/04/2011 12:11,4,138.9359834,207.0879565,155.5303514,161.1052904
ExDO01c,01/04/2012 00:00,4,137.5154793,203.4231634,152.7779626,158.2542431
ExDO01c,01/04/2013 00:00,4,135.6748126,200.8068004,150.8129818,156.2188281
ExDO01c,01/04/2014 00:00,4,134.0022741,198.3188966,148.9444784,154.2833488
ExDO01c,01/04/2015 00:00,4,132.7557779,196.2746609,147.4091854,152.6930237
ExDO01c,01/04/2016 00:00,4,131.7239714,195.9977303,147.2012007,152.4775838
ExDO01c,01/04/2017 00:00,4,131.4598218,196.0173335,147.2159234,152.4928343
ExDO01c,01/04/2018 00:00,4,131.2417558,196.215691,147.3648969,152.6471477
ExDO01c,01/04/2019 00:00,4,131.3341132,196.5533835,147.6185159,152.9098575
ExDO01c,01/04/2020 00:00,4,131.4745771,196.9883488,147.9451901,153.2482413
ExDO01c,01/04/2021 00:00,4,131.6361268,197.4303985,148.2771851,153.5921365
ExDO01c,01/04/2022 00:00,4,131.8381938,197.8949856,148.6261063,153.9535647
ExDO01c,01/04/2023 00:00,4,132.0779651,198.4260997,149.0249918,154.3667481
ExDO01c,01/04/2024 00:00,4,132.3530628,198.908,149.3869158,154.7416452
ExDO01c,01/04/2025 00:00,4,132.6536762,199.3920767,149.7504745,155.1182356
ExDO01c,01/04/2026 00:00,4,132.9811569,199.9314027,150.1555273,155.5378074
ExDO01c,01/04/2027 00:00,4,133.289782,200.5151558,150.5939465,155.9919415
ExDO01c,01/04/2028 00:00,4,133.5922305,201.1054774,151.0372988,156.4511857
ExDO01c,01/04/2029 00:00,4,133.9015648,201.7141493,151.4944328,156.9247055
ExDO01c,01/04/2030 00:00,4,134.2187836,202.3539405,151.9749386,157.4224349
ExDO01c,01/04/2031 00:00,4,134.5384727,202.9865022,152.4500147,157.9145399
ExDO01c,01/04/2032 00:00,4,134.858784,203.6385124,152.9396973,158.4217751
ExDO01c,01/04/2033 00:00,4,135.1889937,204.3090982,153.4433309,158.9434613
ExDO01c,01/04/2034 00:00,4,135.501257,204.9602657,153.9323806,159.4500409
ExDO01c,01/04/2035 00:00,4,135.7879309,205.6309428,154.4360827,159.971798
ExDO01c,01/04/2036 00:00,4,136.1050475,206.3565413,154.9810328,160.5362817
ExDO01c,01/04/2037 00:00,4,136.4199804,207.0801679,155.5245018,161.0992312
ExDO01c,01/04/2038 00:00,4,136.7423344,207.8264094,156.0849555,161.6797742
ExDO01c,01/04/2039 00:00,4,137.0698432,208.5872419,156.6563675,162.2716683
ExDO02,01/04/2011 12:11,4,36.39623514,46.17997121,34.84548519,36.39623514
ExDO02,01/04/2012 00:00,4,35.75443456,45.36564708,34.23103008,35.75443456
ExDO02,01/04/2013 00:00,4,35.57330592,45.13582893,34.05761887,35.57330592
ExDO02,01/04/2014 00:00,4,35.39394916,44.90825897,33.88590404,35.39394916
ExDO02,01/04/2015 00:00,4,35.29920671,44.78804863,33.79519832,35.29920671
ExDO02,01/04/2016 00:00,4,35.20429561,44.66762432,33.70433114,35.20429561
ExDO02,01/04/2017 00:00,4,35.18332526,44.64101689,33.68425428,35.18332526
ExDO02,01/04/2018 00:00,4,35.19526101,44.6561611,33.69568148,35.19526101
ExDO02,01/04/2019 00:00,4,35.25139436,44.72738376,33.74942313,35.25139436
ExDO02,01/04/2020 00:00,4,35.3119062,44.8041619,33.80735672,35.3119062
ExDO02,01/04/2021 00:00,4,35.39004571,44.90330623,33.88216691,35.39004571
ExDO02,01/04/2022 00:00,4,35.46340544,44.99638591,33.95240096,35.46340544
ExDO02,01/04/2023 00:00,4,35.54319139,45.09761926,34.02878744,35.54319139
ExDO02,01/04/2024 00:00,4,35.63019974,45.20801648,34.11208859,35.63019974
ExDO02,01/04/2025 00:00,4,35.72155254,45.32392599,34.19954908,35.72155254
ExDO02,01/04/2026 00:00,4,35.82053019,45.44950999,34.29430955,35.82053019
ExDO02,01/04/2027 00:00,4,35.90634926,45.55839825,34.37647209,35.90634926
ExDO02,01/04/2028 00:00,4,36.0015699,45.67921532,34.46763563,36.0015699
ExDO02,01/04/2029 00:00,4,36.09074785,45.79236534,34.55301393,36.09074785
ExDO02,01/04/2030 00:00,4,36.19863527,45.92925417,34.65630455,36.19863527
ExDO02,01/04/2031 00:00,4,36.29311469,46.04913077,34.74675844,36.29311469
ExDO02,01/04/2032 00:00,4,36.38349616,46.16380784,34.83328899,36.38349616
ExDO02,01/04/2033 00:00,4,36.46586406,46.26831721,34.91214741,36.46586406
ExDO02,01/04/2034 00:00,4,36.56588742,46.39522801,35.00790902,36.56588742
ExDO02,01/04/2035 00:00,4,36.66786053,46.52461269,35.10553732,36.66786053
ExDO02,01/04/2036 00:00,4,36.76681461,46.6501668,35.20027523,36.76681461
ExDO02,01/04/2037 00:00,4,36.87043248,46.78163837,35.29947821,36.87043248
ExDO02,01/04/2038 00:00,4,36.97801512,46.91814049,35.40247703,36.97801512
ExDO02,01/04/2039 00:00,4,37.08864385,47.05850753,35.50839215,37.08864385
ExDO03,01/04/2011 12:11,4,64.67804674,83.01052667,63.99662707,64.67804674
ExDO03,01/04/2012 00:00,4,63.87169168,81.97561665,63.19876741,63.87169168
