,,,DYAA,DYCP,MDO,NYAA
ExDO01a,01/04/2011 12:11,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2012 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2013 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2014 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2015 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2016 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2017 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2018 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2019 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2020 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2021 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2022 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2023 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2024 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2025 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2026 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2027 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2028 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2029 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2030 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2031 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2032 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2033 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2034 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2035 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2036 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2037 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2038 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01a,01/04/2039 00:00,4,8.768767123,9.48,8.68,8.768767123
ExDO01b,01/04/2011 12:11,4,22.48579452,28.07,22.34,22.48579452
ExDO01b,01/04/2012 00:00,4,22.48579452,28.07,22.34,22.48579452
ExDO01b,01/04/2013 00:00,4,22.48579452,28.07,22.34,22.48579452
ExDO01b,01/04/2014 00:00,4,22.48579452,28.07,22.34,22.48579452
ExDO01b,01/04/2015 00:00,4,22.48579452,28.07,22.34,22.48579452
ExDO01b,01/04/2016 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2017 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2018 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2019 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2020 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2021 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2022 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2023 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2024 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2025 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2026 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2027 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2028 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2029 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2030 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2031 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2032 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2033 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2034 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2035 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2036 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2037 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2038 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01b,01/04/2039 00:00,4,22.48579452,27.58,21.85,22.48579452
ExDO01c,01/04/2011 12:11,4,203.9809967,198.5555172,180.532069,203.9809967
ExDO01c,01/04/2012 00:00,4,203.3065139,197.8810345,180.2741379,203.3065139
ExDO01c,01/04/2013 00:00,4,202.6320312,197.2065517,180.0162069,202.6320312
ExDO01c,01/04/2014 00:00,4,201.9575484,196.532069,179.7582759,201.9575484
ExDO01c,01/04/2015 00:00,4,201.2830657,195.8575862,179.5003448,201.2830657
ExDO01c,01/04/2016 00:00,4,193.5446103,172.3831034,174.1424138,200.6085829
ExDO01c,01/04/2017 00:00,4,192.8701275,171.7086207,173.8844828,199.9341001
ExDO01c,01/04/2018 00:00,4,192.1956448,171.0341379,173.6265517,199.2596174
ExDO01c,01/04/2019 00:00,4,191.521162,170.3596552,173.3686207,198.5851346
ExDO01c,01/04/2020 00:00,4,190.8466793,169.6851724,173.1106897,197.9106519
ExDO01c,01/04/2021 00:00,4,190.1721965,169.0106897,172.8527586,197.2361691
ExDO01c,01/04/2022 00:00,4,189.4977137,168.3362069,172.5948276,196.5616863
ExDO01c,01/04/2023 00:00,4,188.823231,167.6617241,172.3368966,195.8872036
ExDO01c,01/04/2024 00:00,4,188.1487482,166.9872414,172.0789655,195.2127208
ExDO01c,01/04/2025 00:00,4,187.4742655,166.3127586,171.8210345,194.5382381
ExDO01c,01/04/2026 00:00,4,186.7997827,165.6382759,171.5631034,193.8637553
ExDO01c,01/04/2027 00:00,4,186.1253,164.9637931,171.3051724,193.1892726
ExDO01c,01/04/2028 00:00,4,185.4508172,164.2893103,171.0472414,192.5147898
ExDO01c,01/04/2029 00:00,4,184.7763344,163.6148276,170.7893103,191.840307
ExDO01c,01/04/2030 00:00,4,184.1018517,162.9403448,170.5313793,191.1658243
ExDO01c,01/04/2031 00:00,4,183.4273689,162.2658621,170.2734483,190.4913415
ExDO01c,01/04/2032 00:00,4,182.7528862,161.5913793,170.0155172,189.8168588
ExDO01c,01/04/2033 00:00,4,182.0784034,160.9168966,169.7575862,189.142376
ExDO01c,01/04/2034 00:00,4,181.4039206,160.2424138,169.4996552,188.4678932
ExDO01c,01/04/2035 00:00,4,180.7294379,159.567931,169.2417241,187.7934105
ExDO01c,01/04/2036 00:00,4,180.0549551,158.8934483,168.9837931,187.1189277
ExDO01c,01/04/2037 00:00,4,179.3804724,158.2189655,168.7258621,186.444445
ExDO01c,01/04/2038 00:00,4,178.7059896,157.5444828,168.467931,185.7699622
ExDO01c,01/04/2039 00:00,4,178.0315068,156.87,168.21,185.0954795
ExDO02,01/04/2011 12:11,4,31.09715068,36.25310345,28.14,31.09715068
ExDO02,01/04/2012 00:00,4,31.09715068,36.2462069,28.14,31.09715068
ExDO02,01/04/2013 00:00,4,31.09715068,36.23931034,28.14,31.09715068
ExDO02,01/04/2014 00:00,4,31.09715068,36.23241379,28.14,31.09715068
ExDO02,01/04/2015 00:00,4,31.09715068,36.22551724,28.14,31.09715068
ExDO02,01/04/2016 00:00,4,31.09715068,36.21862069,28.14,31.09715068
ExDO02,01/04/2017 00:00,4,31.09715068,36.21172414,28.14,31.09715068
ExDO02,01/04/2018 00:00,4,31.09715068,36.20482759,28.14,31.09715068
ExDO02,01/04/2019 00:00,4,29.24493054,36.45442578,28.40441498,29.24493054
ExDO02,01/04/2020 00:00,4,29.24493054,36.44752923,28.40441498,29.24493054
ExDO02,01/04/2021 00:00,4,29.24493054,36.44063268,28.40441498,29.24493054
ExDO02,01/04/2022 00:00,4,29.24493054,36.43373613,28.40441498,29.24493054
ExDO02,01/04/2023 00:00,4,29.24493054,36.42683958,28.40441498,29.24493054
ExDO02,01/04/2024 00:00,4,29.24493054,36.41994302,28.40441498,29.24493054
ExDO02,01/04/2025 00:00,4,29.24493054,36.41304647,28.40441498,29.24493054
ExDO02,01/04/2026 00:00,4,29.24493054,36.40614992,28.40441498,29.24493054
