Name ,from,to,WRSE Ref,Type,Zone_generic,Co. From,Co. to,Zone from,Zone to,Company,WRZ,Earliest Start Year,End year,Asset life,DO,Financial_Cost,Financial_Vopex,EnvSoc_Cost,EnvSoc_Vopex,Carbon_Const,Carbon_Fopex,Carbon_Vopex,Transfer type,Ratchet,Full capacity,Description,Bi-directional
Units,,,,,,,,,,,,,,,Ml day^-1,1e3 $ yr^-1,0.01 $ m^-3,1e3 $ yr^-1,0.01 $ m^-3,t,t yr^-1,kg m^-3,,,,,
Lft1009_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-869,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,1.4,Array_Link_EnvSoc_Cost.csv,0,"9,083.89",64.78,0.12,Inter-company transfer,1,,VWC-CTR-VW5-869 : Preston to Wicker Hall,
Lft1021_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-753,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,2.07,Array_Link_EnvSoc_Cost.csv,0,"5,873.83",129.19,0.18,Inter-company transfer,1,,VWC-CTR-VW5-753 : Uttlesford Bridge - Sibleys Mains upgrade,
Lft1027_ph2b,ExDO54,ExDO53,VWC-CTR-VW3-076,Intra-company transfer,WRZ33,AFF,AFF,WRZ34,WRZ33,VW,VW3,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.82,Array_Link_EnvSoc_Cost.csv,0,"2,967.18",34.38,0.06,Intra-company transfer,0,,"VWC-CTR-VW3-076 : Arkley Bulls Green Transfer Upgrade - See scheme no. 28 ""Iver Arkley Transfer Upgrade (Ickenham Booster Upgrade)""",
Lft1028_ph2b,ExDO54,ExDO53,VWC-CTR-VW3-031,Intra-company transfer,WRZ33,AFF,AFF,WRZ34,WRZ33,VW,VW3,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,5,Array_Link_EnvSoc_Cost.csv,0,"3,156.32",228.11,0.42,Intra-company transfer,0,,VWC-CTR-VW3-031 : Arkley Bulls Green Transfer/ Maximising Arkley North,
Lft1030_ph2b,ExDO52,ExDO51,VWC-CTR-VW1-708,Intra-company transfer,WRZ31,AFF,AFF,WRZ32,WRZ31,VW,VW1,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.32,Array_Link_EnvSoc_Cost.csv,0,"7,701.37",18.38,0.02,Inter-company transfer,1,,VWC-CTR-VW1-708 : Clay Lane to Batchworth,
Lft1050_ph2b,ExDO53,ExDO55,VWC-CTR-VW5-712,Intra-company transfer,WRZ35,AFF,AFF,WRZ33,WRZ35,VW,VW5,2022,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3,Array_Link_EnvSoc_Cost.csv,0,"10,044.86",153.27,0.42,Inter-company transfer,1,,VWC-CTR-VW5-712 : Standon North Mains (VW3-5 bidirectional flow),
Lft184_ph2b,ExDO56,ExDO54,VWC-CTR-VW4-716,Intra-company transfer,WRZ34,AFF,AFF,WRZ36,WRZ34,VW,VW4,2018,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.89,Array_Link_EnvSoc_Cost.csv,0,"19,608.25",171.59,0.12,Intra-company transfer,0,,VWC-CTR-VW4-716 : North Surrey North,
Lft185_ph2b,ExDO51,ExDO52,VWC-CTR-VW2-701,Intra-company transfer,WRZ32,AFF,AFF,WRZ31,WRZ32,VW,VW2,2017,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,2.69,Array_Link_EnvSoc_Cost.csv,0,"3,503.45",148.8,0.2,Intra-company transfer,0,,VWC-CTR-VW2-701 : Hunton Bridge to Friars Wash Boosters,
Lft186_ph2b,ExDO51,ExDO52,VWC-CTR-VW2-702,Intra-company transfer,WRZ32,AFF,AFF,WRZ31,WRZ32,VW,VW2,2017,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,1.76,Array_Link_EnvSoc_Cost.csv,0,"11,429.34",222,0.2,Intra-company transfer,0,,VWC-CTR-VW2-702 : Hunton Bridge to Friars Wash,
Lft1011_ph2b,ExDO42,ExDO54,VWC-RTR-VW4-706,Inter-company transfer,WRZ34,TWU,AFF,WRZ22,WRZ34,VW,VW4,2017,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,18,Array_Link_EnvSoc_Cost.csv,0,"5,639.52",137.9,0.19,Inter-company transfer,1,,VWC-RTR-VW4-706 : Stonebridge Park Mains,
Lft1032_ph2b,ExDO17,ExDO38,VWS-RTR-VWS-450,Inter-company transfer,WRZ18,SWS,VWS,WRZ07,WRZ18,VW,VWS,2016,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,40,Array_Link_EnvSoc_Cost.csv,0,0,0,0,Inter-company transfer,1,,VWS-RTR-VWS-450 : DEAI Extension,
Lft1033_ph2b,ExDO17,ExDO38,VWS-RTR-VWS-639,Inter-company transfer,WRZ18,SWS,VWS,WRZ07,WRZ18,VW,VWS,2015,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,40.1,Array_Link_EnvSoc_Cost.csv,0,0,0,0,Inter-company transfer,1,,VWS-RTR-VWS-639 : Deal Import Continuation,
Lft183_ph2b,ExDO50,ExDO56,VWC-RTR-VW6-752,Inter-company transfer,WRZ36,TWU,AFF,WRZ27,WRZ36,VW,VW6,2018,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,20,Array_Link_EnvSoc_Cost.csv,0,"1,236.89",23.62,0.24,Inter-company transfer,1,,VWC-RTR-VW6-752 : Ladymead increased import,
Lft190c_ph2b,ExDO36,ExDO38,VWS-RTR-VWS-638,Inter-company transfer,WRZ18,SEW,VWS,ExDO36j,WRZ18,VW,VWS,2015,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,24,Array_Link_EnvSoc_Cost.csv,0,0,0,0,Inter-company transfer,0,,VWS-RTR-VWS-638 : Barham Import Continuation,Bi-directional
Lft1049_ph2b,ExDO35,ExDO38,VWS-RTR-VWS-841,Inter-company transfer,WRZ18,SEW,VWS,WRZ17,WRZ18,VW,VWS,2017,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,24,Array_Link_EnvSoc_Cost.csv,0,"2,714.19",9.74,0.07,Inter-company transfer,1,,VWS-RTR-VWS-841 : Increase Barham import ot Chalksoke system from 2 to 6Ml/d,
Lft194_ph2b,ExDO35,ExDO38,VWS-RTR-VWS-842,Inter-company transfer,WRZ18,SEW,VWS,WRZ17,WRZ18,VW,VWS,2016,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,25,Array_Link_EnvSoc_Cost.csv,0,"1,325.00",11.79,0.11,Inter-company transfer,1,,VWS-RTR-VWS-842 : Aldington Import to Saltwood Reservoir 3Ml/d,
Lft195_ph2b,ExDO35,ExDO38,VWS-RTR-VWS-843,Inter-company transfer,WRZ18,SEW,VWS,WRZ17,WRZ18,VW,VWS,2016,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,25,Array_Link_EnvSoc_Cost.csv,0,"2,226.73",16.86,0.08,Inter-company transfer,1,,VWS-RTR-VWS-843 : Aldington Import to Saltwood Reservoir 6Ml/d Additional works,
Lft100c_ph2b,ExDO35,ExDO38,VWS-RTR-VWS-301,Inter-company transfer,WRZ18,SEW,VWS,WRZ17,WRZ18,VW,VWS,2017,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,24,Array_Link_EnvSoc_Cost.csv,0,"1,576.31",11.52,0.16,Inter-company transfer,1,,VWS-RTR-VWS-301 : Barham Import Increase to 4 Ml/d,
Lft3000_ph2b,ExDO42,ExDO54,VWC-RTR-VW4-T01,Inter-company transfer,WRZ34,TWU,AFF,WRZ22,WRZ34,VW,VW4,2015,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,18,Array_Link_EnvSoc_Cost.csv,0,0,0,0,Inter-company transfer,1,,VWC-RTR-VW4-T01 : Reduced Fortis 12Ml/d,
Lft005a_ph2b,ExDO39a,ExDO39b,SES-CTR-ESU-5090,Intra-company transfer,WRZ19B,SES,SES,WRZ19A,WRZ19B,SES,ESU,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.99,Array_Link_EnvSoc_Cost.csv,0,"4,590.29",0,0.35,Intra-company transfer,0,,12Ml/d transfer from Sutton WRZ to East Surrey WRZ,Bi-directional
Lft005b_ph2b,ExDO39b,ExDO39a,SES-CTR-SUT-5091,Intra-company transfer,WRZ19A,SES,SES,WRZ19B,WRZ19A,SES,SUT,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.56,Array_Link_EnvSoc_Cost.csv,0,0,0,0.25,Intra-company transfer,0,,East Surrey to Sutton (12Ml/d),Bi-directional
Lft006a_ph2b,ExDO39a,ExDO39b,SES-CTR-ESU-5100,Intra-company transfer,WRZ19B,SES,SES,WRZ19A,WRZ19B,SES,ESU,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.99,Array_Link_EnvSoc_Cost.csv,0,"8,361.10",0,0.35,Intra-company transfer,0,,20Ml/d transfer from Sutton WRZ to East Surrey WRZ,Bi-directional
Lft006b_ph2b,ExDO39b,ExDO39a,SES-CTR-SUT-5101,Intra-company transfer,WRZ19A,SES,SES,WRZ19B,WRZ19A,SES,SUT,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.56,Array_Link_EnvSoc_Cost.csv,0,0,0,0.25,Intra-company transfer,0,,East Surrey to Sutton (20Ml/d),Bi-directional
Lft011_ph2b,ExDO42,ExDO39a,SES-RTR-SUT-5070,Inter-company transfer,WRZ19A,TWU,SES,WRZ22,WRZ19A,SES,SUT,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,85.15,Array_Link_EnvSoc_Cost.csv,0,"2,092.15",0,0.49,Inter-company transfer,1,,15Ml/d bulk supply from Thames Water (London WRZ) to SESW (Sutton WRZ) at Merton,
Lft012_ph2b,ExDO42,ExDO39a,SES-RTR-SUT-5030,Inter-company transfer,WRZ19A,TWU,SES,WRZ22,WRZ19A,SES,SUT,2025,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,84.38,Array_Link_EnvSoc_Cost.csv,0,"3,047.30",0,0.45,Inter-company transfer,1,,30Ml/d bulk supply from Thames Water (London WRZ) to SESW (Sutton WRZ) at Merton,
Lft1048_ph2b,ExDO42,ExDO39a,SES-RTR-SUT-5110,Inter-company transfer,WRZ19A,TWU,SES,WRZ22,WRZ19A,SES,SUT,2020,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,81.92,Array_Link_EnvSoc_Cost.csv,0,545.9,0,0.49,Inter-company transfer,1,,5Ml/d bulk supply from Thames Water (London WRZ) to SESW (Sutton WRZ) at Merton,
Lft001a_ph2b,ExDO28,ExDO20,PRT-RTR-PRT-5081,Inter-company transfer,WRZ08,SEW,SEW,WRZ12,WRZ08,PRT,PRT,2019,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0,Array_Link_EnvSoc_Cost.csv,0,"1,457.36",0,0,Inter-company transfer,0,,SEW RZ5 Tilmore to PRT Clanfield 10Ml/d (Costs from PRT) Bidirectional,Bi-directional
Lft001b_ph2b,ExDO20,ExDO28,PRT-RTR-RZ5-5080,Inter-company transfer,WRZ12,SEW,SEW,WRZ08,WRZ12,PRT,RZ5,2019,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0,Array_Link_EnvSoc_Cost.csv,0,"1,778.63",0,0,Inter-company transfer,0,,PRTS to SEW RZ5 (Clanfield to Tilmore Transfer) 10Ml/d Bidirectional (PRT costs),Bi-directional
Lft013n_ph2b,ExDO20,ExDO28,PRT-RTR-RZ5-5090,Inter-company transfer,WRZ12,SEW,SEW,WRZ08,WRZ12,PRT,RZ5,2021,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.24,Array_Link_EnvSoc_Cost.csv,0,"8,556.49",0,0.02,Inter-company transfer,1,,PRTS to SEW RZ5 (Farlington WTW to Tilmore Res) 20Ml/d (PRT costs),Two company costs
Lft106n_ph2b,ExDO20,ExDO03,PRT-RTR-SNO-5060,Inter-company transfer,WRZ03,SEW,SWS,WRZ08,WRZ03,PRT,SNO,2019,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.16,Array_Link_EnvSoc_Cost.csv,0,"1,896.65",0,0.01,Inter-company transfer,1,,PRTS Eastgate to SWS Sussex North Hardham via Whiteways Lodge (duplicate of existing bulk supply) - costs from PRT,Two company costs
Lft108n_ph2b,ExDO20,ExDO06b,PRT-RTR-SWO-5012,Inter-company transfer,WRZ04B,SEW,SWS,WRZ08,WRZ04B,PRT,SWO,2019,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0.16,Array_Link_EnvSoc_Cost.csv,0,"1,389.58",0,0.01,Inter-company transfer,1,,PRTS to SWS Sussex Worthing (Slindon to Littlehampton) PRT costs,Two company costs
Lft027_ph2b,ExDO29,ExDO31,SEW-CTR-RZ1-5190,Intra-company transfer,WRZ15,SEW,SEW,WRZ13,WRZ15,SEW,RZ1,2026,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.21,Array_Link_EnvSoc_Cost.csv,0,"13,259.60",880.6,0,Intra-company transfer,0,,Transfer SEW RZ2 to SEW RZ1 (Whitely Hill SR to Blackhurst SR via Horsted Keynes SR),
Lft028_ph2b,ExDO29,ExDO31,SEW-CTR-RZ1-5500,Intra-company transfer,WRZ15,SEW,SEW,WRZ13,WRZ15,SEW,RZ1,2026,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,3.21,Array_Link_EnvSoc_Cost.csv,0,"13,259.60",880.6,0,Intra-company transfer,0,,Whitely Hill SR to Blackhurst SR via Horsted Keynes SR (Duplicate of TR 44),
Lft032a_ph2b,ExDO31,ExDO29,SEW-CTR-RZ2-5901,Intra-company transfer,WRZ13,SEW,SEW,WRZ15,WRZ13,SEW,RZ2,2020,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,1.41,Array_Link_EnvSoc_Cost.csv,0,0,386.7,0,Intra-company transfer,0,,SEW  Blackhurst (RZ1) to Best Beech (RZ2) ,Bi-directional
Lft032b_ph2b,ExDO29,ExDO31,SEW-CTR-RZ1-5902,Intra-company transfer,WRZ15,SEW,SEW,WRZ13,WRZ15,SEW,RZ1,2020,,60,Array_Link_DO.csv,Array_Link_Financial_Cost.csv,0,Array_Link_EnvSoc_Cost.csv,0,"3,747.20",0,0,Intra-company transfer,0,,SEW Best Beech (RZ2) to Blackhurst (RZ1),Bi-directional
