Name ,x,y,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
Units,,,,,,,,,,,Ml day^-1,Ml day^-1,Ml day^-1,Ml day^-1,Ml day^-1,Ml day^-1,1e3 $ yr^-1,1e3 $ yr^-1,0.01 $ m^-3,0.01 $ m^-3,1e3 $ yr^-1,1e3 $ yr^-1,0.01 $ m^-3,0.01 $ m^-3,1e3 $,1e3 $,t,1e3 $ yr^-1,t yr^-1,1e3 $ yr^-1,kg m^-3,1e3 $ yr^-1,t,1e3 $,,0.01 $ m^-3,%,%,
ExDO01a,447897,157188,Water resource zone,,WRZ01A,SWS,HKI,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,4.3525,0.31,0.35,SWS Hampshire Kingsclere
ExDO01b,437174,147373,Water resource zone,,WRZ01B,SWS,HAN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,4.3525,0.25,0.25,SWS Hampshire Andover
ExDO01c,445650,121174,Water resource zone,,WRZ01C,SWS,HSO,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,4.3525,0.1,0.1,SWS Hampshire South
ExDO02,451637,88257,Water resource zone,,WRZ02,SWS,IOW,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,8.4015,0.1,0.1,SWS I.o.W
ExDO03,506619,123496,Water resource zone,,WRZ03,SWS,SNO,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,6.65,0.12,0.15,SWS Sussex North
ExDO06a,534087,107479,Water resource zone,,WRZ04A,SWS,SBR,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,3.641,0.16,0.2,SWS Sussex Brighton
ExDO06b,510991,107362,Water resource zone,,WRZ04B,SWS,SWO,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,3.8635,0.28,0.3,SWS Sussex Worthing
ExDO07,586725,117100,Water resource zone,,WRZ05,SWS,SHA,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,10.3505,0.1,0.1,SWS Sussex Hastings
ExDO12,579010,166888,Water resource zone,,WRZ06,SWS,KME,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,5.043,0.1,0.1,SWS Kent Medway
ExDO17,629811,159510,Water resource zone,,WRZ07,SWS,KTH,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,4.212,0.24,0.25,SWS Kent Thanet
ExDO20,459540,114656,Water resource zone,,WRZ08,SEW,PRT,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,3.756979453,0.12,0.15,PRTS Company
ExDO27,475522,156499,Water resource zone,,WRZ11,SEW,RZ4,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,6,0.1,0.1,SEW Northern North (RZ 4)
