,,CAPEX,FOPEX
Lft1009_ph2b,2,1,1
Lft1021_ph2b,2,1,1
Lft1027_ph2b,2,1,1
Lft1028_ph2b,2,1,1
Lft1030_ph2b,2,1,1
Lft1050_ph2b,2,1,1
Lft184_ph2b,2,1,1
Lft185_ph2b,2,1,1
Lft186_ph2b,2,1,1
Lft1011_ph2b,2,1,1
Lft1032_ph2b,2,1,1
Lft1033_ph2b,2,1,1
Lft183_ph2b,2,1,1
Lft190c_ph2b,2,1,1
Lft1049_ph2b,2,1,1
Lft194_ph2b,2,1,1
Lft195_ph2b,2,1,1
Lft100c_ph2b,2,1,1
Lft3000_ph2b,2,1,1
Lft005a_ph2b,2,1,1
Lft005b_ph2b,2,1,1
Lft006a_ph2b,2,1,1
Lft006b_ph2b,2,1,1
Lft011_ph2b,2,1,1
Lft012_ph2b,2,1,1
Lft1048_ph2b,2,1,1
Lft001a_ph2b,2,1,1
Lft001b_ph2b,2,1,1
Lft013n_ph2b,2,1,1
Lft106n_ph2b,2,1,1
Lft108n_ph2b,2,1,1
Lft027_ph2b,2,1,1
Lft028_ph2b,2,1,1
Lft032a_ph2b,2,1,1
Lft032b_ph2b,2,1,1
Lft033a_ph2b,2,1,1
Lft033b_ph2b,2,1,1
Lft034a_ph2b,2,1,1
Lft034b_ph2b,2,1,1
Lft035_ph2b,2,1,1
Lft036a_ph2b,2,1,1
Lft036b_ph2b,2,1,1
Lft037_ph2b,2,1,1
Lft038_ph2b,2,1,1
Lft041_ph2b,2,1,1
Lft042_ph2b,2,1,1
Lft045a_ph2b,2,1,1
Lft045b_ph2b,2,1,1
Lft051_ph2b,2,1,1
Lft052_ph2b,2,1,1
Lft055a_ph2b,2,1,1
Lft055b_ph2b,2,1,1
Lft056a_ph2b,2,1,1
Lft056b_ph2b,2,1,1
Lft057a_ph2b,2,1,1
Lft057b_ph2b,2,1,1
Lft058a_ph2b,2,1,1
Lft058b_ph2b,2,1,1
Lft059a_ph2b,2,1,1
Lft059b_ph2b,2,1,1
Lft060_ph2b,2,1,1
Lft001c_ph2b,2,1,1
Lft001d_ph2b,2,1,1
Lft009d_ph2b,2,1,1
Lft013m_ph2b,2,1,1
Lft020_ph2b,2,1,1
Lft025_ph2b,2,1,1
Lft026_ph2b,2,1,1
Lft072_ph2b,2,1,1
Lft073_ph2b,2,1,1
Lft076_ph2b,2,1,1
Lft094_ph2b,2,1,1
Lft095_ph2b,2,1,1
Lft100a_ph2b,2,1,1
Lft100b_ph2b,2,1,1
Lft114m_ph2b,2,1,1
Lft115a_ph2b,2,1,1
Lft115b_ph2b,2,1,1
Lft124n_ph2b,2,1,1
Lft127m_ph2b,2,1,1
Lft190a_ph2b,2,1,1
Lft190b_ph2b,2,1,1
Lft3001_ph2b,2,1,1
Lft199_ph2b,2,1,1
Lft200_ph2b,2,1,1
Lft1016_ph2b,2,1,1
Lft1024_ph2b,2,1,1
Lft1040_ph2b,2,1,1
Lft1041_ph2b,2,1,1
Lft128_ph2b,2,1,1
Lft129_ph2b,2,1,1
Lft131_ph2b,2,1,1
Lft133a_ph2b,2,1,1
Lft133b_ph2b,2,1,1
Lft136_ph2b,2,1,1
Lft1051_ph2b,2,1,1
Lft102_ph2b,2,1,1
Lft103_ph2b,2,1,1
Lft1039_ph2b,2,1,1
Lft104_ph2b,2,1,1
Lft106m_ph2b,2,1,1
Lft107_ph2b,2,1,1
Lft108m_ph2b,2,1,1
Lft114n_ph2b,2,1,1
Lft116_ph2b,2,1,1
Lft124m_ph2b,2,1,1
Lft127n_ph2b,2,1,1
Lft138_ph2b,2,1,1
Lft139_ph2b,2,1,1
Lft140_ph2b,2,1,1
Lft141_ph2b,2,1,1
Lft142_ph2b,2,1,1
Lft143_ph2b,2,1,1
Lft144_ph2b,2,1,1
Lft204_ph2b,2,1,1
Lft074_ph2b,2,1,1
Lft077_ph2b,2,1,1
Lft079_ph2b,2,1,1
Lft117a_ph2b,2,1,1
Lft117b_ph2b,2,1,1
Lft1013_ph2b,2,1,1
Lft1014_ph2b,2,1,1
Lft1015_ph2b,2,1,1
Lft1043_ph2b,2,1,1
Lft1044c_ph2b,2,1,1
Lft164_ph2b,2,1,1
Lft165_ph2b,2,1,1
Lft166_ph2b,2,1,1
Lft1200_ph2b,2,1,1
Lft1201_ph2b,2,1,1
Lft1202_ph2b,2,1,1
Lft1203_ph2b,2,1,1
Lft1204_ph2b,2,1,1
Lft1205_ph2b,2,1,1
Lft1206_ph2b,2,1,1
Lft1207_ph2b,2,1,1
Lft1208_ph2b,2,1,1
Lft1209_ph2b,2,1,1
Lft1210_ph2b,2,1,1
Lft1211_ph2b,2,1,1
Lft1212_ph2b,2,1,1
Lft1213_ph2b,2,1,1
Lft1214_ph2b,2,1,1
Lft1215_ph2b,2,1,1
Lft1216_ph2b,2,1,1
Lft1217_ph2b,2,1,1
Lft1218_ph2b,2,1,1
Lft1219_ph2b,2,1,1
Lft1220_ph2b,2,1,1
Lft1221_ph2b,2,1,1
Lft1222_ph2b,2,1,1
Lft1223_ph2b,2,1,1
Lft1224_ph2b,2,1,1
Lft1225_ph2b,2,1,1
Lft1226_ph2b,2,1,1
Lft1227_ph2b,2,1,1
Lft1228_ph2b,2,1,1
Lft1229_ph2b,2,1,1
Lft1230_ph2b,2,1,1
Lft1231_ph2b,2,1,1
Lft1232_ph2b,2,1,1
Lft1233_ph2b,2,1,1
Lft1234_ph2b,2,1,1
Lft1235_ph2b,2,1,1
Lft1236_ph2b,2,1,1
Lft1237_ph2b,2,1,1
Lft1238_ph2b,2,1,1
Lft1239_ph2b,2,1,1
Lft3002_ph2b,2,1,1
Lft3003_ph2b,2,1,1
Lft3500_ph2b,2,1,1
Lft3501_ph2b,2,1,1
Lft3140_ph2b,2,1,1
Lft3141_ph2b,2,1,1
Lft3142_ph2b,2,1,1
Lft3143_ph2b,2,1,1
Lft3144_ph2b,2,1,1
Lft009c_ph2b,2,1,1
Lft009a_ph2b,2,1,1
